Segment,1,2,3,4,Total
t116,-2.40759775700586e-10,8.683449674417379e-10,8.046630380355824e-9,4.315280183741315e-8,5.182701740951012e-8
t117,-2.407597761961061e-10,8.683449668193808e-10,8.04663037862492e-9,4.315280182012803e-8,5.182701738937623e-8
t118,-2.407597763025716e-10,8.683449666730033e-10,8.046630378193878e-9,4.315280181222139e-8,5.18270173807857e-8
t119,-2.4075977722733443e-10,8.68344965503453e-10,8.04663037492584e-9,4.3152801777287026e-8,5.182701734048898e-8
t120,-2.4075977663397426e-10,8.683449662157458e-10,8.046630376844576e-9,4.315280178707271e-8,5.182701735349906e-8
t121,-3.346163510351073e-10,7.520702994102378e-10,7.728289396229232e-9,4.0482872173863516e-8,4.862861551846788e-8
t122,-3.348759982536528e-10,7.517489863537535e-10,7.72741588309932e-9,4.047578970743766e-8,4.8620078578637084e-8
t123,-3.3474625762654135e-10,7.519095399380093e-10,7.727852355548421e-9,4.047932847288707e-8,4.862434411074696e-8
t124,-3.3461635093653555e-10,7.520702995143426e-10,7.728289396478506e-9,4.048287217109599e-8,4.86286155161523e-8
t125,-3.344862780753056e-10,7.522312652230319e-10,7.728727006311997e-9,4.0486420807959024e-8,4.863289280141875e-8
t126,-3.1498387412377246e-10,7.763710833060399e-10,7.794451160922396e-9,4.102308692490936e-8,4.9278925295014025e-8
t127,-3.1498387217752955e-10,7.763710857502524e-10,7.79445116765241e-9,4.102308698967745e-8,4.927892537090258e-8
t128,-2.255883120065559e-10,8.87164075195945e-10,8.098577492717892e-9,4.360597081056446e-8,5.236612406647174e-8
t129,-3.1498387324329836e-10,7.763710844493481e-10,7.79445116414054e-9,4.1023086965867974e-8,4.9278925341214564e-8
t130,-3.33833414621069e-10,7.530391938709247e-10,7.730923612091591e-9,4.050423828119017e-8,4.8654367672531615e-8
t131,-3.3370234078514803e-10,7.532014012382765e-10,7.731364649152402e-9,4.0507816673526753e-8,4.865868038313229e-8
t132,-3.335710992672992e-10,7.53363816609752e-10,7.731806260417236e-9,4.051140005381078e-8,4.8662999031570466e-8
t133,-3.334396898226777e-10,7.535264402921429e-10,7.73224844675731e-9,4.051498843094756e-8,4.866732362817433e-8
t134,-3.333081122917899e-10,7.536892724868874e-10,7.73269120875806e-9,4.051858181160454e-8,4.8671654180557695e-8
t135,-3.3317636649630285e-10,7.538523134136989e-10,7.733134547045148e-9,4.052218020142119e-8,4.867599069538373e-8
t136,-3.3304445218995575e-10,7.540155633847093e-10,7.733578462511428e-9,4.052578361045581e-8,4.8680333184161996e-8
t137,-3.3291236916535445e-10,7.541790226657413e-10,7.73402295592726e-9,4.0529392048249066e-8,4.8684681657676717e-8
t138,-3.327801170399242e-10,7.543426917188945e-10,7.73446802855816e-9,4.053300552286605e-8,4.868903612610318e-8
t139,-3.326476961108721e-10,7.545065701658744e-10,7.734913679385974e-9,4.0536624024063114e-8,4.869339657750409e-8
t140,-3.32515105613948e-10,7.546706589657979e-10,7.735359911074549e-9,4.054024757787959e-8,4.869776304230599e-8
t141,-3.3238234556315986e-10,7.548349581034106e-10,7.735806723616928e-9,4.054387618566085e-8,4.870213552181803e-8
t142,-3.3224941567031485e-10,7.549994679361616e-10,7.736254118017308e-9,4.054750985661768e-8,4.870651402690084e-8
t143,-3.3211631572850227e-10,7.551641887188618e-10,7.736702094997037e-9,4.05511485971187e-8,4.8710898565106097e-8
t144,-3.3198304553389586e-10,7.553291207084606e-10,7.737150655294609e-9,4.055479241527334e-8,4.871528914574251e-8
t145,-3.3184960485995346e-10,7.554942641936616e-10,7.737599799741828e-9,4.05584413209293e-8,4.871968578000483e-8
t146,-3.31715993443661e-10,7.556596195081149e-10,7.738049529292506e-9,4.0562095324878114e-8,4.872408848023507e-8
t147,-3.3158221111046565e-10,7.558251868672683e-10,7.738499844562595e-9,4.0565754432828974e-8,4.872849725314837e-8
t148,-3.3144825784257573e-10,7.55990966294044e-10,7.738950745647234e-9,4.056941864665497e-8,4.873291210075367e-8
t149,-3.313141328217958e-10,7.561569588049737e-10,7.73940223534999e-9,4.0573087991062847e-8,4.8737333052396014e-8
t150,-3.311798360573957e-10,7.563231643926387e-10,7.739854313689662e-9,4.057676246815912e-8,4.874176011018402e-8
t151,-3.310453676797539e-10,7.564895828965487e-10,7.74030698026274e-9,4.0580442075764866e-8,4.87461932712444e-8
t152,-3.3091072727576915e-10,7.566562148209825e-10,7.740760236459151e-9,4.058412682417236e-8,4.875063254817672e-8
t153,-3.307759145902021e-10,7.568230604835943e-10,7.741214083177848e-9,4.058781672203744e-8,4.875507795110868e-8
t154,-3.3064092949810596e-10,7.569901200354079e-10,7.74166852085443e-9,4.059151177280525e-8,4.875952948419698e-8
t155,-3.305057716439196e-10,7.571573939192459e-10,7.742123550730415e-9,4.0595211988191906e-8,4.876398716119765e-8
t156,-3.4601489217153553e-10,7.379664492272556e-10,7.689978907261567e-9,4.017345699411011e-8,4.82553874584274e-8
t157,-3.4601489758211513e-10,7.379664425288061e-10,7.689978889073237e-9,4.017345684657031e-8,4.825538728059023e-8
t158,-3.4601489726239664e-10,7.379664429188857e-10,7.689978890121615e-9,4.0173456853553226e-8,4.825538728933133e-8
t159,-3.460148970281723e-10,7.379664432046765e-10,7.689978890889737e-9,4.0173456858675e-8,4.825538729574124e-8
t160,-3.29735939198264e-10,7.581101629307212e-10,7.744715513440945e-9,4.061629602745577e-8,4.8789385764629176e-8
t161,-3.2959962318512444e-10,7.582788737435233e-10,7.745174514280948e-9,4.062003091462798e-8,4.879388467946733e-8
t162,-3.294631327175962e-10,7.584478010028099e-10,7.745634113356596e-9,4.0623771027720215e-8,4.8798389809362023e-8
t163,-3.2932646757997345e-10,7.586169449615118e-10,7.746094311361968e-9,4.0627516369502224e-8,4.880290115824573e-8
t164,-3.291896275032409e-10,7.587863059679962e-10,7.746555109306543e-9,4.0631266953240344e-8,4.880741874101164e-8
t165,-3.290526122677448e-10,7.58955884301018e-10,7.747016507994411e-9,4.063502278823979e-8,4.881194256826747e-8
t166,-3.289154216499178e-10,7.591256802351255e-10,7.747478508201231e-9,4.0638783881143895e-8,4.881647264793033e-8
t167,-3.287780554298689e-10,7.592956940432144e-10,7.747941110703726e-9,4.064255023938611e-8,4.8821008988703185e-8
t168,-3.2864051337079885e-10,7.594659260213838e-10,7.748404316346145e-9,4.064632187156455e-8,4.882555160056128e-8
t169,-3.2850279579823027e-10,7.596363757740707e-10,7.748868124098939e-9,4.065009877218509e-8,4.8830100476259865e-8
t170,-3.460148942878341e-10,7.379664465251688e-10,7.689978899770038e-9,4.0173456911595775e-8,4.825538736360315e-8
t171,-3.2850280130837486e-10,7.596363689310969e-10,7.748868105434626e-9,4.0650098613944424e-8,4.8830100287001775e-8
t172,-3.460148972926367e-10,7.379664427962546e-10,7.689978889628174e-9,4.017345682697335e-8,4.8255387262105146e-8
t173,-3.4601489754545484e-10,7.379664424860549e-10,7.689978888791158e-9,4.01734568209243e-8,4.825538725465606e-8
t174,-3.460148974544585e-10,7.379664426082565e-10,7.689978889140945e-9,4.017345682629139e-8,4.825538726058613e-8
t175,-3.2850279844893457e-10,7.596363724971899e-10,7.748868115189431e-9,4.065009870066253e-8,4.883010038990022e-8
t176,-3.285027980897018e-10,7.59636372958085e-10,7.74886811647435e-9,4.0650098715510894e-8,4.883010040685363e-8
t177,-3.2677952959420055e-10,7.617692677148782e-10,7.754672705704705e-9,4.0697397956740265e-8,4.888706040056565e-8
t178,-3.285028002102347e-10,7.596363703672781e-10,7.748868109488215e-9,4.0650098667702025e-8,4.883010034734728e-8
t179,-4.367202449691858e-10,6.258663942554259e-10,7.387781371977895e-9,3.7816398709280026e-8,4.539332623054416e-8
t180,-4.3672024494173223e-10,6.258663942939452e-10,7.387781372089648e-9,3.7816398711264134e-8,4.5393326232705996e-8
t181,-4.367202448408088e-10,6.258663944193452e-10,7.387781372426926e-9,3.781639871401243e-8,4.5393326236017895e-8
t182,-4.3672024509394794e-10,6.258663941054663e-10,7.387781371583917e-9,3.781639870730155e-8,4.539332622789699e-8
t183,-4.3672023915069355e-10,6.258664014419369e-10,7.387781391227046e-9,3.781639885563618e-8,4.5393326409154474e-8
t184,-3.102177025055012e-10,7.822722535132573e-10,7.810547131486743e-9,4.11556478870927e-8,4.94382495695872e-8
t185,-3.100563570340693e-10,7.824720326749967e-10,7.811092248072992e-9,4.116014514158756e-8,4.944365306530148e-8
t186,-2.8487363676821186e-10,8.136626588910328e-10,7.896360667596593e-9,4.187001888635511e-8,5.029516857607453e-8
t187,-2.848736370209328e-10,8.136626585776002e-10,7.896360666737484e-9,4.187001887904568e-8,5.029516856733983e-8
t188,-2.8487363738114437e-10,8.136626581256064e-10,7.896360665488628e-9,4.187001886695662e-8,5.029516855318971e-8
t189,-3.092465153730192e-10,7.834747958734947e-10,7.813828582294763e-9,4.118272787646931e-8,4.9470784739264546e-8
t190,-3.092465150801008e-10,7.83474796221899e-10,7.813828583218452e-9,4.1182727880180286e-8,4.9470784744540535e-8
