Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t4245,0.0,1.5404662835753657e-6,0.000463177801175024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021217132374446625,158226.68931136775
t4246,0.0,1.5403241935301428e-6,0.00046385600142089754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021259309523848427,160028.55285703533
t4247,0.0,1.5400362238409507e-6,0.0004645344569916291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021213853891104077,162856.06985780143
t4248,0.0,1.539772020886239e-6,0.0004652131993367274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002107958167561977,166781.9224629028
t4249,0.0,1.5392743314211903e-6,0.0004658922601652935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020852088141114344,171139.5123872678
t4250,0.0,1.538460037132627e-6,0.00046657167145075295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020523126216535258,174481.1248381962
t4251,0.0,1.5374137592783616e-6,0.0004672514654367517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020079316563206866,177190.06962465632
t4252,0.0,1.5357778478721597e-6,0.00046793167464227866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001949969649325175,181775.88426945236
t4253,0.0,1.5333681400198e-6,0.00046861233186536313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001875095210066109,186563.94693745277
t4254,0.0,1.5302055333035667e-6,0.0004692934701897134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001777736835342206,191130.86879362492
t4255,0.0,1.5259892035447722e-6,0.0004699751229896881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001647659380912421,192733.07887232103
t4256,0.0,1.5208784600621895e-6,0.000470657323938033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014627023882911655,194420.06656375912
t4257,0.0,1.5158318193699773e-6,0.00047134010700965764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011564068118483155,197750.00232999303
t4258,0.0,1.5126262052079915e-6,0.00047202350648765695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5730248974105513e-5,202048.84943493395
t4259,0.0,1.515553235863367e-6,0.000473107750606992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.33370060829523,207870.46802573532
t4260,0.0,1.5274827415542469e-6,0.0004748488751529516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.433604225011,213618.20923161687
t4261,0.0,1.5410071397533925e-6,0.00047659091711211074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2628.533507841727,219283.15929082895
t4262,0.0,1.54817933814274e-6,0.00047768215561787687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3795.8747293964275,224855.50877186272
t4263,0.0,1.5524179541400618e-6,0.0004787758455723882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4536.000725479235,230324.55578900198
t4264,0.0,1.5547854898890895e-6,0.0004798720330967897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454914070405,235678.7413108421
t4265,0.0,1.5533948554867444e-6,0.000480481104965137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454892196375,239971.2393792823
t4266,0.0,1.5507551536234502e-6,0.0004810912298505095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454883047464,244106.79244291247
t4267,0.0,1.5482478060495678e-6,0.0004817024427545611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454877623115,246601.11813289797
t4268,0.0,1.5461170082573265e-6,0.00048231477902786735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454874333609,247582.66851504723
t4269,0.0,1.5444070799356317e-6,0.00048292827437267067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.4548726142075,247455.00172195793
t4270,0.0,1.5431076967139402e-6,0.000483495870169344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454868550044,247145.6829876661
t4271,0.0,1.5422383486805995e-6,0.00048406702089201053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.45486609068,246836.75090276258
t4272,0.0,1.5419657738814346e-6,0.00048468420223239786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454868052795,246980.763023569
t4273,0.0,1.5421038401387092e-6,0.0004852625704928702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454868191943,246672.0370908991
t4274,0.0,1.5425361868353348e-6,0.00048584460227812573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454869626545,246363.69706699473
t4275,0.0,1.5432727674458217e-6,0.0004864303337339897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454872521939,246055.7424696472
t4276,0.0,1.544411984437791e-6,0.00048701980145294795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454877292814,245748.172817288
t4277,0.0,1.5454146244059443e-6,0.0004876130424896777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454884974899,245440.98762899928
t4278,0.0,1.5454939493087067e-6,0.0004882100943610075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454899310481,245134.1864245292
t4279,0.0,1.5432114167505798e-6,0.0004884612373743933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4581.408890744114,244827.7686926972
t4280,0.0,1.5403488450876386e-6,0.0004887163250610665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3371.8254937048764,244521.73398304827
t4281,0.0,1.5386641613584894e-6,0.0004889753742713033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.431571099263,244216.08181680492
t4282,0.0,1.5404964778543381e-6,0.0004895879050974181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3395.0607257688403,243910.81175961602
t4283,0.0,1.544943257621884e-6,0.0004902043662573253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3730.264974978977,243605.9232963567
t4284,0.0,1.551504258616263e-6,0.0004908247977148896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4102.065421760097,243301.4159520837
t4285,0.0,1.5602370892168395e-6,0.0004914492399573008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4527.743673924502,242997.28925362896
t4286,0.0,1.5712684946664732e-6,0.0004920777340040506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4893.214072975587,242693.54273072156
t4287,0.0,1.5834407386647516e-6,0.0004927103213740946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4911.09322893993,242390.17591886272
t4288,0.0,1.593633247080188e-6,0.0004933470442728988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454915396337,242087.1883687346
t4289,0.0,1.5945094031369306e-6,0.0004932805912630743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454915935769,241784.57938302736
t4290,0.0,1.5813323716859612e-6,0.0004919105935857328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454509067222,240583.13873897033
t4291,0.0,1.5609602594210039e-6,0.0004905407054975122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3959.4395021849587,238079.10562630053
t4292,0.0,1.5378655112395897e-6,0.0004891707890682007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2503.7453165423167,236177.54960909652
t4293,0.0,1.51535864247974e-6,0.0004878007091673397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.05092696598,234896.01756966242
t4294,0.0,1.4981756170933628e-6,0.00048644616703953745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68944725308216e-6,234602.3974233404
t4295,0.0,1.4942502298866013e-6,0.0004864041556393922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9418545686551465e-6,234309.1444263739
t4296,0.0,1.4997700985589098e-6,0.00048704689963134906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.89626157200667,234016.2580692632
t4297,0.0,1.5078613101476756e-6,0.0004876933573133517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.5413473913932,233723.73783862768
t4298,0.0,1.5157301977099073e-6,0.000488343568710153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066.680446225632,233431.58328916025
t4299,0.0,1.522168177851164e-6,0.0004890022739538293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3298.780003167851,233272.04099915287
t4300,0.0,1.5270490592148335e-6,0.0004896624647804218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4530.879215742859,234605.38403893245
t4301,0.0,1.530858948217182e-6,0.0004903241834258442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.453382765851,236340.73812732243
t4302,0.0,1.5338103673894595e-6,0.0004909874726309282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.453823624074,238843.32040997647
t4303,0.0,1.5363551348769918e-6,0.0004916523756482626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.45405619105,242174.62318579087
t4304,0.0,1.5389330593627213e-6,0.0004923189362525419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454220055945,244034.74468948407
t4305,0.0,1.5421856167990497e-6,0.0004929871987546527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454350907377,245172.19870289302
t4306,0.0,1.5463225522923246e-6,0.0004936572080137419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454463897585,246445.1431648148
t4307,0.0,1.5516820259756399e-6,0.000494329009449876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454568010283,248169.75387696302
t4308,0.0,1.5585675088716014e-6,0.0004950026490573255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454671421155,249520.3550096177
t4309,0.0,1.5662645751855695e-6,0.0004956781734194749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454789493031,251539.26387023396
t4310,0.0,1.5729335064130912e-6,0.0004963520647200783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454915056071,251224.84003250353
t4311,0.0,1.5743007924821236e-6,0.0004963762372030258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454913523367,250910.80898243288
t4312,0.0,1.5706292803823703e-6,0.0004959423467297357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4631.374907676422,250597.17046985065
t4313,0.0,1.565885125898428e-6,0.0004955135145883323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4332.7690568859525,250283.92400542327
t4314,0.0,1.5625714370310676e-6,0.0004955510287081092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4855.207767181117,249971.06910041612
t4315,0.0,1.554534314149253e-6,0.0004951321984046534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4331.6861805172475,249658.6052627283
t4316,0.0,1.540295635748545e-6,0.0004937627437418999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875.9915881473685,247754.14558317102
t4317,0.0,1.5296892782030615e-6,0.0004933536709691536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410.86620852531,247444.45289990705
t4318,0.0,1.520459479223605e-6,0.0004929493629630963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573.9496512958508,247135.14733251065
t4319,0.0,1.5119660410928389e-6,0.0004925497730990147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0246603780221,246826.2283970869
t4320,0.0,1.5054508295867584e-6,0.0004921548556912458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.965134218544476e-6,246517.6956103457
t4321,0.0,1.5041110162192063e-6,0.0004922221077387162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.219842693806271e-6,246209.548490902
t4322,0.0,1.508300234127255e-6,0.000492909195354175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.2724623202672,245901.78662636143
t4323,0.0,1.5140504509870357e-6,0.0004936003420614089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.404323316729,245594.40948208747
t4324,0.0,1.5193777955038614e-6,0.0004942955932264069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835.0621139882185,245287.4165891368
t4325,0.0,1.5237188214283087e-6,0.0004949997757153944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3067.1616820830413,245402.05010727013
t4326,0.0,1.5270023907955674e-6,0.0004957057640929421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4299.260916829739,246159.33413857705
t4327,0.0,1.5296187563495167e-6,0.000496413607236175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.453374583982,247177.10335383264
t4328,0.0,1.5316309547418382e-6,0.0004971233546738144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.45379677282,248499.4596876872
t4329,0.0,1.5333320532883672e-6,0.0004978350566005553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.4540179609285,250058.79284485505
t4330,0.0,1.5352242247726087e-6,0.0004985487638942841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454172398193,252148.1435160922
t4331,0.0,1.5373916767279543e-6,0.0004992645281330802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454294159973,254835.73192826274
t4332,0.0,1.5401193055602254e-6,0.0004999824016132042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454397316157,258239.9263977098
t4333,0.0,1.5438604387361631e-6,0.0005007024373668034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454489456615,261444.94102134928
t4334,0.0,1.5485211770224715e-6,0.0005014246891815415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454575804293,263579.04015148745
t4335,0.0,1.5538803535000457e-6,0.0005021492116204379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454661390476,264472.6806496392
t4336,0.0,1.5591707268694242e-6,0.0005028760600428906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454754432744,266273.3431032069
t4337,0.0,1.561647977566937e-6,0.0005036052906228715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454888234689,267241.94842635735
t4338,0.0,1.555746776456514e-6,0.0005039503927376101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.766110850108,266907.89599200117
t4339,0.0,1.5363859477508172e-6,0.0005025901192308061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2827.0715170917356,266409.816735445
t4340,0.0,1.5169710244977762e-6,0.0005012307655278561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371.3769233285695,265965.37369372806
t4341,0.0,1.5117780241837661e-6,0.0005019573767465548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501.9538710847692,265632.9170460152
t4342,0.0,1.5123954241001661e-6,0.0005025294437213343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501.953871503559,265300.8759038738
t4343,0.0,1.5160155137611608e-6,0.0005032654889011333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2521.696263293878,264969.249925103
t4344,0.0,1.52043176156678e-6,0.0005040111480490959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3753.7958393106073,267062.8871539179
t4345,0.0,1.5249808314808623e-6,0.0005047592407022557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4985.895089803845,270224.9345505357
t4346,0.0,1.529316469254924e-6,0.0005055098261183326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.453602393043,273600.2958761
t4347,0.0,1.5336701413800305e-6,0.0005062629644702386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454032016533,276003.1544875911
t4348,0.0,1.5384370847585665e-6,0.0005070187168753739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454264046726,277707.21730045
t4349,0.0,1.54427281249184e-6,0.0005077771454190399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454433476322,279890.518975851
t4350,0.0,1.5513343483963318e-6,0.0005085383131801769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454577268684,281051.4125138031
