Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t25,19.769897714372128,0.0,0.0,1.7643930654306224e-6,1.1052991837665027e-6,2259.853147772111,5847.159391453627,5.285773955667509e-6,0.0,0.0,0.0,0.0,0.0
t26,19.76989770198174,0.0,0.0,1.7594201888332587e-6,1.1032616599186558e-6,2259.8531476972826,5847.159391389941,5.285878674304605e-6,0.0,0.0,0.0,0.0,0.0
t27,19.76989769074663,0.0,0.0,1.7546869951619748e-6,1.1008702636332848e-6,2259.8531476434277,5847.15939132805,5.286366090438133e-6,0.0,0.0,0.0,0.0,0.0
t28,19.769897678174424,0.0,0.0,1.7496535088370467e-6,1.0975348588961097e-6,2259.8531476098333,5847.1593912652115,5.28728482799289e-6,0.0,0.0,0.0,0.0,0.0
t29,19.76989768755122,0.0,0.0,1.7510616695632104e-6,1.1002549028636015e-6,2259.8531476463245,5847.159391250856,5.289141402620135e-6,0.0,0.0,0.0,0.0,0.0
t30,19.769897692900734,0.0,0.0,1.7515694821014571e-6,1.1017628473136266e-6,2259.853147702158,5847.159391231938,5.291517235200898e-6,0.0,0.0,0.0,0.0,0.0
t31,19.769897693210737,0.0,0.0,1.7510832285654512e-6,1.1023401037938256e-6,2259.853147777161,5847.159391206682,5.294439675726273e-6,0.0,0.0,0.0,0.0,0.0
t32,19.769897687478583,0.0,0.0,1.749454721244557e-6,1.102041484041494e-6,2259.853147871243,5847.159391173375,5.2979491983128886e-6,0.0,0.0,0.0,0.0,0.0
t33,19.76989767453309,0.0,0.0,1.7464862121455976e-6,1.1007415747529718e-6,2259.8531479843896,5847.159391130351,5.302083772635523e-6,0.0,0.0,0.0,0.0,0.0
t34,19.769897652885707,0.0,0.0,1.7419088548019957e-6,1.0981097801153757e-6,2259.853148116666,5847.15939107601,5.306872477395864e-6,0.0,0.0,0.0,0.0,0.0
t35,19.76989762251281,0.0,0.0,1.7353977107036147e-6,1.093540000310924e-6,2259.8531482682397,5847.15939100949,5.312340077947778e-6,0.0,0.0,0.0,0.0,0.0
t36,19.76989758286473,0.0,0.0,1.7265403671457127e-6,1.0860495599823265e-6,2259.8531484398495,5847.159390930387,5.318531012542259e-6,0.0,0.0,0.0,0.0,0.0
t37,19.769897561523234,0.0,0.0,1.722305567293605e-6,1.0821790744984872e-6,2259.8531487005034,5847.159390897163,5.3259172391633635e-6,0.0,0.0,0.0,0.0,0.0
t38,19.76989755669709,0.0,0.0,1.7224084404563453e-6,1.081060680133279e-6,2259.853149070326,5847.15939090776,5.334538433220601e-6,0.0,0.0,0.0,0.0,0.0
t39,19.769897567841795,0.0,0.0,1.7269113035655418e-6,1.0824261173068379e-6,2259.853149584475,5847.159390962508,5.344439778714844e-6,0.0,0.0,0.0,0.0,0.0
t40,19.76989761873907,0.0,0.0,1.7421841675100672e-6,1.0928794228165908e-6,2259.8531504825764,5847.159391114524,5.355965474815789e-6,0.0,0.0,0.0,0.0,0.0
t41,19.769897660946196,0.0,0.0,1.7559717394465724e-6,1.1002495154910195e-6,2259.8531514807955,5847.159391255426,5.368400868357774e-6,0.0,0.0,0.0,0.0,0.0
t42,19.769897695152743,0.0,0.0,1.768795914447151e-6,1.1054491017171235e-6,2259.8531525372405,5847.1593913840225,5.381746739590275e-6,0.0,0.0,0.0,0.0,0.0
t43,19.769897722392052,0.0,0.0,1.7816438640465825e-6,1.1094799070915056e-6,2259.8531536560986,5847.159391503731,5.396050022602114e-6,0.0,0.0,0.0,0.0,0.0
