BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1992,10839.427236191994,6.7242582290087246e-6,-2503.427242964555,0.0,0.0,4.8644135385018875e-8,-3.4466351221281355e-10,0.0,0.0,-8336.0
t1993,10378.937272755908,6.773754058891806e-6,-2649.9372795779655,0.0,0.0,4.8647844801222206e-8,-3.445462719534535e-10,0.0,0.0,-7729.0
t1994,10958.263355353081,6.824260598034383e-6,-3629.2633622256535,0.0,0.0,4.865155928325591e-8,-3.444288821538413e-10,0.0,0.0,-7329.0
t1995,10954.549726563195,6.848415533883189e-6,-3827.54973345992,0.0,0.0,4.865527884250754e-8,-3.4431134251841956e-10,0.0,0.0,-7127.0
t1996,10978.688313349658,6.8684864527104234e-6,-3950.6883202664576,0.0,0.0,4.8659003483759816e-8,-3.441936529028429e-10,0.0,0.0,-7028.0
t1997,9378.114328383659,6.884333741883274e-6,-2334.1143353163106,0.0,0.0,4.8662733215980644e-8,-3.440758130768214e-10,0.0,0.0,-7044.0
t1998,8748.654257855627,6.8949599097970955e-6,-1543.6542647989072,0.0,0.0,4.866646804548734e-8,-3.43957822897747e-10,0.0,0.0,-7205.0
t1999,7719.979098406669,6.8982897517558925e-6,-136.97910535328467,0.0,0.0,4.867020799985718e-8,-3.438396815609642e-10,0.0,0.0,-7583.0
t2000,8594.348336620547,6.889697744728436e-6,-500.3483435585739,0.0,0.0,4.8673953029847077e-8,-3.4372139060122105e-10,0.0,0.0,-8094.0
t2001,10388.508184624541,6.854416228031574e-6,-1487.508191527294,0.0,0.0,4.8677703191580174e-8,-3.4360294832781685e-10,0.0,0.0,-8901.0
t2002,8448.74126989561,1149.258740903629,-1.0848198036832369e-5,0.0,0.0,4.9286617627618085e-8,-3.245125053593969e-10,0.0,0.0,-9598.0
t2003,6989.189995648425,3043.810006347966,-2.0480784093407997e-6,0.0,0.0,5.193205308622764e-8,-2.4472039671753984e-10,0.0,0.0,-10033.0
t2004,7941.197217943891,2347.8027840490186,-2.044605048782465e-6,0.0,0.0,5.1940440752589325e-8,-2.4447526654812215e-10,0.0,0.0,-10289.0
t2005,9892.754256736542,484.2457541582133,-1.0943714902273703e-5,0.0,0.0,4.928661759536041e-8,-3.245125065755853e-10,0.0,0.0,-10377.0
t2006,11907.631714298006,6.570347522519226e-6,-1635.6317209167048,0.0,0.0,4.8696531020626875e-8,-3.430084650844806e-10,0.0,0.0,-10272.0
