Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t9,1.6077450822904914e-7,0.0,0.0,1.1842037859457568e-7,1.257161391848198e-7,2.423931817395755e-7,1.9061438960077005e-7,1.6254036503196647e-8,0.0,0.0,0.0,0.0,0.0,8.541726338519869e-7
t10,1.5934586533336656e-7,0.0,0.0,1.1904493763479156e-7,1.2598413772862843e-7,2.3614118725471092e-7,1.9000015165989878e-7,1.6126279731422967e-8,0.0,0.0,0.0,0.0,0.0,8.466425593428193e-7
t11,1.563737485146757e-7,0.0,0.0,1.1943225613470763e-7,1.2605446327700797e-7,2.302184180549362e-7,1.879770957860858e-7,1.600525166454634e-8,0.0,0.0,0.0,0.0,0.0,8.360612334319596e-7
t12,1.5123339851056875e-7,0.0,0.0,1.19519697454412e-7,1.2594060070800642e-7,2.2458984037745062e-7,1.844095563975585e-7,1.588920891913488e-8,0.0,0.0,0.0,0.0,0.0,8.215823023671311e-7
t13,1.426398469807772e-7,0.0,0.0,1.1931829622726545e-7,1.2561989817449512e-7,2.1922235622266066e-7,1.79089731950487e-7,1.577644009917541e-8,0.0,0.0,0.0,0.0,0.0,8.016665696548608e-7
t14,1.3691076063686992e-7,0.0,0.0,1.1881050923776706e-7,1.250304860653108e-7,2.1414831893140646e-7,1.739589404112992e-7,1.566429826667544e-8,0.0,0.0,0.0,0.0,0.0,7.845233135493289e-7
t15,1.323284854410274e-7,0.0,0.0,1.1795730522900253e-7,1.2406028703954968e-7,2.093405830282717e-7,1.6886569850164157e-7,1.5551500436378903e-8,0.0,0.0,0.0,0.0,0.0,7.681038596758719e-7
t16,1.2925977363324657e-7,0.0,0.0,1.1723698136117902e-7,1.2310955192587158e-7,2.062373581723772e-7,1.657883534330906e-7,1.5473638056896246e-8,0.0,0.0,0.0,0.0,0.0,7.571056565826614e-7
t17,1.2560012930037975e-7,0.0,0.0,1.160296861109398e-7,1.2138308489309294e-7,2.0318095510187611e-7,1.6222900441986772e-7,1.5389116827157445e-8,0.0,0.0,0.0,0.0,0.0,7.438119766533138e-7
t18,1.2073070987567523e-7,0.0,0.0,1.1418391506611585e-7,1.1852444806460771e-7,2.001651878594507e-7,1.5808978529576283e-7,1.5330222886346337e-8,0.0,0.0,0.0,0.0,0.0,7.270242690479586e-7
t19,1.8198059721264962e-7,0.0,0.0,1.362523188458513e-7,1.392767553117599e-7,4.983886723967862e-7,2.962167367462723e-7,1.7045268395030525e-8,0.0,0.0,0.0,0.0,0.0,1.2691603489083497e-6
t20,1.7383389542963526e-7,0.0,0.0,1.3350755182476902e-7,1.3482110616154258e-7,4.814021204585744e-7,2.8503044809977306e-7,1.695382074840849e-8,0.0,0.0,0.0,0.0,0.0,1.2255489427227027e-6
t21,1.698162985221312e-7,0.0,0.0,1.315778011603701e-7,1.3220719964043488e-7,4.656115518973263e-7,2.779561962041443e-7,1.68045064430325e-8,0.0,0.0,0.0,0.0,0.0,1.1939735538674393e-6
t22,1.6830023989055973e-7,0.0,0.0,1.3015489949832128e-7,1.306645024838471e-7,4.508836523001876e-7,2.738640209419875e-7,1.663744278241913e-8,0.0,0.0,0.0,0.0,0.0,1.1705047578973224e-6
