BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1258,48266.52157573997,4486.478426914255,-2.7061771106585827e-6,0.0,0.0,5.219601326060636e-8,-2.370292422854237e-10,0.0,0.0,-52753.0
t1259,77282.11411034309,2.5810691109385177e-6,-24317.11411297262,0.0,0.0,4.8807410760770364e-8,-3.395129351357915e-10,0.0,0.0,-52965.0
t1260,97667.28161989542,5.885628320942138e-6,-43952.28162582952,0.0,0.0,4.8811343663004954e-8,-3.393891200581338e-10,0.0,0.0,-53715.0
t1261,107761.20450504118,5.8833769274271165e-6,-53621.204510973024,0.0,0.0,4.88113435506812e-8,-3.3938912359807464e-10,0.0,0.0,-54140.0
t1262,114005.55926052592,5.8811345500868536e-6,-59463.559266455515,0.0,0.0,4.8811343514105165e-8,-3.3938912475317766e-10,0.0,0.0,-54542.0
t1263,119410.13271670286,5.87889904286007e-6,-63658.13272263024,0.0,0.0,4.881134348676188e-8,-3.393891256247051e-10,0.0,0.0,-55752.0
t1264,118281.14664986027,5.876659248637703e-6,-61812.146655785415,0.0,0.0,4.8811343469173495e-8,-3.3938912618454645e-10,0.0,0.0,-56469.0
t1265,112093.55145401493,5.8743155904140355e-6,-55082.55145993773,0.0,0.0,4.8811343460359806e-8,-3.3938912646655373e-10,0.0,0.0,-57011.0
t1266,94483.42346628002,6.0171574677866765e-6,-37273.42347234564,0.0,0.0,4.883530834837546e-8,-3.386349205296545e-10,0.0,0.0,-57210.0
t1267,70015.92733562346,5.940174770956015e-6,-13908.927341612138,0.0,0.0,4.883927959450761e-8,-3.3850998230979863e-10,0.0,0.0,-56107.0
t1268,40405.11033597255,17242.889667237592,-3.263269228025268e-6,0.0,0.0,5.33238667101338e-8,-2.0469620675039578e-10,0.0,0.0,-57648.0
t1269,29437.19698400122,29069.803019209492,-3.263837808960992e-6,0.0,0.0,5.332386671290498e-8,-2.0469620667915558e-10,0.0,0.0,-58507.0
t1270,29677.012058189226,27686.98794502201,-3.2643522805835555e-6,0.0,0.0,5.332386671169611e-8,-2.046962067037774e-10,0.0,0.0,-57364.0
t1271,29924.32135276671,24940.678650444956,-3.264782873047376e-6,0.0,0.0,5.3323866708549524e-8,-2.0469620677047226e-10,0.0,0.0,-54865.0
t1272,30360.859727756357,20600.1402754556,-3.26508436285478e-6,0.0,0.0,5.33238667033819e-8,-2.046962068774113e-10,0.0,0.0,-50961.0
t1273,30868.59320205784,15860.406801154235,-3.2651883871292335e-6,0.0,0.0,5.3323866696044797e-8,-2.0469620703501524e-10,0.0,0.0,-46729.0
