Segment,1,2,3,4,Total
t33,-2.0442972764332586e-10,9.13420883354191e-10,8.171254261054888e-9,4.4248611303145257e-8,5.312885671991101e-8
t34,-2.0628851737343556e-10,9.11113694104507e-10,8.16485882492477e-9,4.419165074466735e-8,5.306133474632319e-8
t35,-3.2461931415735004e-10,7.644430940576588e-10,7.761951531617978e-9,4.0756791367862996e-8,4.895856667938129e-8
t36,-4.133047420895056e-10,6.547822893731923e-10,7.46534337411917e-9,3.840757628463425e-8,4.611439720603711e-8
t37,-4.133047421327853e-10,6.547822893185465e-10,7.465343373970123e-9,3.8407576283192224e-8,4.611439720434811e-8
t38,-4.13304742233528e-10,6.547822891926806e-10,7.465343373629272e-9,3.8407576280217014e-8,4.6114397200805435e-8
t39,-4.133047422437787e-10,6.547822891783762e-10,7.465343373587765e-9,3.840757627948548e-8,4.611439720000785e-8
t40,-4.1330474224234316e-10,6.547822891787166e-10,7.46534337358601e-9,3.840757627911263e-8,4.6114397199635014e-8
t41,-4.1330474217820285e-10,6.547822892572307e-10,7.465343373795652e-9,3.840757628054464e-8,4.6114397201419316e-8
t42,-3.2203739824037467e-10,7.676390600408837e-10,7.770654836639257e-9,4.0827926908786026e-8,4.9044183407225794e-8
t43,-3.218912226493075e-10,7.678200059233549e-10,7.771147691838076e-9,4.083195908757858e-8,4.904903556269071e-8
t44,-1.388617903681186e-10,9.948698820209302e-10,8.398185693317856e-9,4.632259844295282e-8,5.5576792227923485e-8
t45,-1.3886179037134235e-10,9.948698820177286e-10,8.398185693310441e-9,4.632259844313898e-8,5.5576792228095804e-8
t46,-1.3886179038409166e-10,9.94869882002076e-10,8.398185693267006e-9,4.6322598442795554e-8,5.5576792227680546e-8
t47,-1.3886179042695882e-10,9.948698819481e-10,8.398185693114543e-9,4.632259844114848e-8,5.5576792225784165e-8
t48,-1.3886179049425638e-10,9.94869881862408e-10,8.398185692870646e-9,4.632259843821508e-8,5.5576792222453876e-8
t49,-1.388617906040629e-10,9.948698817234833e-10,8.39818569247694e-9,4.6322598433753265e-8,5.557679221734963e-8
t50,-1.8498376986574836e-10,9.375638200836777e-10,8.23828554031191e-9,4.485044622050563e-8,5.3841311811035465e-8
t51,-1.8498377080446663e-10,9.375638189176527e-10,8.238285537069177e-9,4.485044619108439e-8,5.3841311776266755e-8
