Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t243,1.7818854398061996e-7,0.0,1.5383974167895654e-7,1.5146006834673923e-7,5.776006350547048e-7,3.4241421008635224e-7,2.299347130274767e-8,0.0,0.0,0.0,0.0,1.4264966704501205e-6
t244,1.7759323505218488e-7,0.0,1.534107025555271e-7,1.49564371937123e-7,5.952872198094854e-7,3.55306745024463e-7,2.3501661123469464e-8,0.0,0.0,0.0,0.0,1.4546639355022528e-6
t245,1.831453923209638e-7,0.0,1.532498140953191e-7,1.4840945328722137e-7,6.140715689934249e-7,3.730409872815706e-7,2.400345653433958e-8,0.0,0.0,0.0,0.0,1.4959206725128395e-6
t246,1.954781509796277e-7,0.0,1.534492412393446e-7,1.4777575020906476e-7,6.340591593467868e-7,3.968189071847677e-7,2.452414813949256e-8,0.0,0.0,0.0,0.0,1.5521053570990844e-6
t247,2.1585823700589872e-7,0.0,1.541266150757539e-7,1.4753304015035143e-7,6.553694282556986e-7,4.2846936115597327e-7,2.509170680445942e-8,0.0,0.0,0.0,0.0,1.626448388448135e-6
t248,2.8399326272571667e-7,0.0,1.6238908993892214e-7,1.5375210399003131e-7,1.0446256896108328e-6,6.250742941066989e-7,2.6276125342032966e-8,0.0,0.0,0.0,0.0,2.2961105657142347e-6
t249,4.3005978326126475e-7,0.0,1.7310775542100838e-7,1.6177500668114467e-7,2.531406134845965e-6,1.1907224544251991e-6,2.758400248179008e-8,0.0,0.0,0.0,0.0,4.5146551371163725e-6
t250,1.0008286387381015e-6,0.0,1.884213129147001e-7,1.7379002829104308e-7,997.081713267991,3.513655196760257e-5,2.89182339818001e-8,0.0,0.0,0.0,0.0,997.0817497965011
t251,3.6798830166948884e-6,0.0,1.9102410665539533e-7,1.765251956722244e-7,1949.5645614662806,8648.09996745086,2.88324280117505e-8,0.0,0.0,0.0,0.0,10597.664532993405
t252,486.58869133620254,0.0,1.7854478933223276e-7,1.6861562725781738e-7,2.1439152714670247e-6,3.040527684477102e-6,2.7368498540445905e-8,0.0,0.0,0.0,0.0,486.5886968951744
t253,2.47530893792187e-6,0.0,1.594174626939205e-7,1.5573922543308285e-7,8.453868915859655e-7,9.12334513671817e-7,2.5249839729024436e-8,0.0,0.0,0.0,0.0,4.57343687103568e-6
t254,1.1082791169952081e-6,0.0,1.4601441003485303e-7,1.4779016302947467e-7,5.292891226715366e-7,5.335991620638133e-7,2.327251170772181e-8,0.0,0.0,0.0,0.0,2.4882444865026073e-6
t255,5.715307303339627e-7,0.0,1.358366834786534e-7,1.4223581984671574e-7,3.8525812950650986e-7,3.754197730884942e-7,2.1457437170832e-8,0.0,0.0,0.0,0.0,1.631738573425168e-6
