Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t16,1.0602390905481048e-6,0.0,1.3404759589438566e-7,1.424883947830292e-7,3.4563873204540083e-7,4.2253614108484025e-7,2.0075731509138724e-8,0.0,0.0,0.0,0.0,2.1250256858648993e-6
t17,2.393831742068183e-6,0.0,1.4240757830790372e-7,1.4718668723581067e-7,4.467293784767117e-7,6.163002414108533e-7,2.153960433271043e-8,0.0,0.0,0.0,0.0,3.767995231832173e-6
t18,4295.155257746234,0.0,1.5318635127362455e-7,1.540162260828795e-7,6.314791199502788e-7,1.1258832351557856e-6,2.3133807842251233e-8,0.0,0.0,0.0,0.0,4295.155259833934
t19,3032.7174050384856,0.0,1.6817479135172209e-7,1.6509675883764365e-7,1.0864816970734635e-6,6.19658652473571e-6,2.481919584519338e-8,0.0,0.0,0.0,0.0,3032.717412679645
t20,3.215868212222837e-6,0.0,1.7421789383162834e-7,1.690254079109756e-7,1.4886118334344547e-6,2236.28227051432,2.5820718112715832e-8,0.0,0.0,0.0,0.0,2236.2822755878638
t21,7.710715182638068e-7,0.0,1.641413839613038e-7,1.5975528153468751e-7,9.975746150587696e-7,4.101495017863591e-6,2.5491773431065865e-8,0.0,0.0,0.0,0.0,6.219529590113225e-6
t22,4.6318359408850553e-7,0.0,1.573536265235844e-7,1.5421494411169298e-7,7.622458170766011e-7,1.5944858698742577e-6,2.5029049703588233e-8,0.0,0.0,0.0,0.0,3.15651290137823e-6
t23,3.421179531609218e-7,0.0,1.525171335721549e-7,1.5069813972348498e-7,6.213478673231534e-7,9.867260710992907e-7,2.4570263693319683e-8,0.0,0.0,0.0,0.0,2.2779774285723252e-6
t24,2.786750598535458e-7,0.0,1.4889546010412596e-7,1.483696360866914e-7,5.264759661525483e-7,7.12900227450688e-7,2.4130198197544546e-8,0.0,0.0,0.0,0.0,1.8394465478451442e-6
t25,2.413132128984868e-7,0.0,1.460126544589735e-7,1.467507269401798e-7,4.57665429485986e-7,5.571027646864167e-7,2.3705245995206623e-8,0.0,0.0,0.0,0.0,1.5725500344652494e-6
t26,2.1904023032082275e-7,0.0,1.4352982546256272e-7,1.4554019905228165e-7,4.051103488832194e-7,4.56552629194034e-7,2.329001663669895e-8,0.0,0.0,0.0,0.0,1.3930632495496196e-6
t27,2.0630264455738862e-7,0.0,1.411811731702433e-7,1.4452701458418966e-7,3.6339685271781913e-7,3.862886791635746e-7,2.288061014437461e-8,0.0,0.0,0.0,0.0,1.26457697433759e-6
t28,1.9997420501958662e-7,0.0,1.3905007579765272e-7,1.4388145540029348e-7,3.311266567122081e-7,3.379266332936173e-7,2.2496310889059517e-8,0.0,0.0,0.0,0.0,1.1744553371124178e-6
t29,1.9508061004210486e-7,0.0,1.362913081708185e-7,1.4283883925661215e-7,3.0221246205261434e-7,2.972950710261733e-7,2.208180482899447e-8,0.0,0.0,0.0,0.0,1.0958000953773176e-6
