Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t930,25135.62180728691,0.0,2.093843490917001e-6,1.3429017973897899e-6,1253.7914032850485,8648.100074755152,5.154353069836749e-6,0.0,0.0,0.0,0.0
t931,25135.621807547206,0.0,2.138627961564431e-6,1.3703447412447303e-6,1253.7914058518077,8648.100075458955,5.159827864167579e-6,0.0,0.0,0.0,0.0
t932,25135.621807901818,0.0,2.2023730611471634e-6,1.4137149437727715e-6,6837.101775858884,8648.100077122668,5.1666675173717744e-6,0.0,0.0,0.0,0.0
t933,25135.621808094933,0.0,2.250761780092137e-6,1.442572870822431e-6,6837.101779473736,8648.100077835134,5.172551035505169e-6,0.0,0.0,0.0,0.0
t934,25135.621808213073,0.0,2.2872496474005654e-6,1.4618027203803833e-6,6837.101780748394,8648.100078256175,5.177383014944569e-6,0.0,0.0,0.0,0.0
t935,25135.621808286724,0.0,2.3140394202344626e-6,1.4743392933781722e-6,6837.101781439623,8648.100078528583,5.181203331629831e-6,0.0,0.0,0.0,0.0
t936,25135.621808330867,0.0,2.332634385016404e-6,1.482027250640161e-6,6837.101781852614,8648.100078705958,5.184055333630556e-6,0.0,0.0,0.0,0.0
t937,25135.621808354175,0.0,2.3440605393579233e-6,1.4859689288913014e-6,6837.101782090976,8648.10007881331,5.1859766645861926e-6,0.0,0.0,0.0,0.0
t938,25135.621808366217,0.0,2.350733628285639e-6,1.488405603585882e-6,6837.101782219562,8648.100078873502,5.187100848699386e-6,0.0,0.0,0.0,0.0
t939,25135.62180837071,0.0,2.3531383067366915e-6,1.489590709597597e-6,6837.101782250611,8648.100078890891,5.187438807380796e-6,0.0,0.0,0.0,0.0
