Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t3911,25887.198317804952,0.0,2.307781861024925e-6,1.4719338010699193e-6,7818.005204910919,9021.338931150385,5.1735596283199646e-6,0.0,0.0,0.0,0.0
t3912,25887.19831784963,0.0,2.326344843595333e-6,1.480118204121744e-6,7818.0052052782685,9021.338931327502,5.1761447404410775e-6,0.0,0.0,0.0,0.0
t3913,25887.198317873866,0.0,2.337454110403937e-6,1.4847542032398748e-6,7818.005205474284,9021.338931426208,5.177704850038806e-6,0.0,0.0,0.0,0.0
t3914,25887.19831788246,0.0,2.341741646869895e-6,1.4865045930317516e-6,7818.005205537416,9021.338931459697,5.178260368483607e-6,0.0,0.0,0.0,0.0
t3915,25887.19831787817,0.0,2.3395674302090844e-6,1.485618476691486e-6,7818.005205478427,9021.338931432103,5.177819320922339e-6,0.0,0.0,0.0,0.0
t3916,25887.19831785961,0.0,2.33074709773843e-6,1.4819698238309627e-6,7818.005205287286,9021.338931340031,5.176377733136578e-6,0.0,0.0,0.0,0.0
t3917,25887.198317822676,0.0,2.3147325100109945e-6,1.4750380318182356e-6,7818.0052049267615,9021.338931171284,5.173919546987865e-6,0.0,0.0,0.0,0.0
t3918,25887.198317760558,0.0,2.290648528185132e-6,1.4638260815902625e-6,7818.005204302081,9021.338930898557,5.170416379182562e-6,0.0,0.0,0.0,0.0
t3919,25887.198317661594,0.0,2.257174212408365e-6,1.4466959286149962e-6,7818.005203129835,9021.338930458816,5.16582768622181e-6,0.0,0.0,0.0,0.0
t3920,25887.19831750324,0.0,2.212352048897261e-6,1.4210682124468467e-6,7818.005199772467,9021.338929665619,5.160107585271119e-6,0.0,0.0,0.0,0.0
t3921,25887.19831722913,0.0,2.1531483872658176e-6,1.3827521958070503e-6,2692.4089476004337,9021.338927348634,5.153285189458015e-6,0.0,0.0,0.0,0.0
t3922,25887.198316942708,0.0,2.1000924630161206e-6,1.3493001229480164e-6,2692.4089327980405,9021.338926027118,5.146942927026883e-6,0.0,0.0,0.0,0.0
t3923,25887.198316721115,0.0,2.0622980759672473e-6,1.3279284034529911e-6,2692.408931333851,9021.338925353555,5.141918987610478e-6,0.0,0.0,0.0,0.0
t3924,25887.19831654905,0.0,2.0364070517118096e-6,1.3146116359116531e-6,2692.4089306828114,9021.338924954209,5.138217727596699e-6,0.0,0.0,0.0,0.0
t3925,25887.19831642554,0.0,2.020289821732121e-6,1.3069123720618016e-6,2692.408930348712,9021.338924721724,5.135807361428376e-6,0.0,0.0,0.0,0.0
t3926,25887.198316358783,0.0,2.0127597251903104e-6,1.3035108119372077e-6,2692.4089302058073,9021.338924615931,5.1346666408409795e-6,0.0,0.0,0.0,0.0
t3927,25887.19831636285,0.0,2.013223689404729e-6,1.3037442559649798e-6,2692.4089302145553,9021.338924623773,5.134780254204323e-6,0.0,0.0,0.0,0.0
t3928,25887.19831643625,0.0,2.021676539968062e-6,1.3076136467484228e-6,2692.4089303768715,9021.33892474564,5.136146680524835e-6,0.0,0.0,0.0,0.0
t3929,25887.198316564765,0.0,2.038708205643077e-6,1.315782731750044e-6,2692.4089307377913,9021.338924997135,5.138778552043033e-6,0.0,0.0,0.0,0.0
t3930,25887.198316741113,0.0,2.0656227253371614e-6,1.3296987579816493e-6,2692.4089314401513,9021.338925423832,5.142701535987209e-6,0.0,0.0,0.0,0.0
t3931,25887.19831696671,0.0,2.104600652109103e-6,1.3518658089438886e-6,2692.4089330782,9021.338926147453,5.1479465694886475e-6,0.0,0.0,0.0,0.0
t3932,25887.1983172579,0.0,2.159083951972204e-6,1.3864260185871653e-6,2692.4090011728085,9021.338927617906,5.154503071704821e-6,0.0,0.0,0.0,0.0
t3933,25887.198317522158,0.0,2.2177490593069145e-6,1.4241315699639156e-6,8048.115856334359,9021.33892976236,5.1614024002989955e-6,0.0,0.0,0.0,0.0
t3934,25887.198317675688,0.0,2.262073336607931e-6,1.449340495088199e-6,8048.1158595866,9021.33893052214,5.1671813408578275e-6,0.0,0.0,0.0,0.0
t3935,25887.198317771643,0.0,2.2950289372646913e-6,1.4661476013051553e-6,8048.115860716938,9021.338930944376,5.171818757602923e-6,0.0,0.0,0.0,0.0
t3936,25887.198317831593,0.0,2.318529075110455e-6,1.4770743499268226e-6,8048.115861314219,9021.338931204444,5.175360315887336e-6,0.0,0.0,0.0,0.0
t3937,25887.198317866725,0.0,2.333851789291922e-6,1.4837125704705318e-6,8048.115861652877,9021.33893136226,5.177845375429003e-6,0.0,0.0,0.0,0.0
t3938,25887.19831788348,0.0,2.3418252556703287e-6,1.4870148074573668e-6,8048.115861823917,9021.338931443615,5.179300756474518e-6,0.0,0.0,0.0,0.0
t3939,25887.19831788556,0.0,2.342942371277452e-6,1.4874513311484992e-6,8048.115861861846,9021.338931459557,5.179740632289038e-6,0.0,0.0,0.0,0.0
t3940,25887.198317873637,0.0,2.3372982217396942e-6,1.485084140662579e-6,8048.115861773468,9021.338931412123,5.179166753745016e-6,0.0,0.0,0.0,0.0
t3941,25887.19831784467,0.0,2.324503315587536e-6,1.4795765651890597e-6,8048.115861542472,9021.338931295195,5.177568509262686e-6,0.0,0.0,0.0,0.0
t3942,25887.198317793223,0.0,2.303861537303256e-6,1.470140698023481e-6,8048.115861117849,9021.338931091788,5.174922802061887e-6,0.0,0.0,0.0,0.0
t3943,25887.198317709946,0.0,2.274269445022707e-6,1.4554099210254868e-6,8048.115860363845,9021.338930763728,5.171193997262176e-6,0.0,0.0,0.0,0.0
t3944,25887.198317577626,0.0,2.2340617161066406e-6,1.4331992085900673e-6,8048.115858799013,9021.33893021506,5.1663369374534816e-6,0.0,0.0,0.0,0.0
t3945,25887.198317357932,0.0,2.1806966386948957e-6,1.400013632048033e-6,8048.1158499922485,9021.338929091758,5.160335755247167e-6,0.0,0.0,0.0,0.0
t3946,25887.19831704444,0.0,2.121394593388037e-6,1.3609120691198264e-6,8048.115841185484,9021.338927414194,5.153952452597285e-6,0.0,0.0,0.0,0.0
t3947,25887.198316807357,0.0,2.0792132093742347e-6,1.3359788564567146e-6,8048.1158398316675,9021.338926663639,5.1488564842991806e-6,0.0,0.0,0.0,0.0
t3948,25887.19831662378,0.0,2.0502601348644273e-6,1.320423394585239e-6,8048.11583921199,9021.338926234925,5.145088679469342e-6,0.0,0.0,0.0,0.0
t3949,25887.198316490485,0.0,2.032128780983006e-6,1.311392424671307e-6,8048.115838893096,9021.338925987247,5.142622547897952e-6,0.0,0.0,0.0,0.0
t3950,25887.1983164156,0.0,2.0234848660950152e-6,1.3073254526684602e-6,8048.115838760088,9021.33892587146,5.1414371976318635e-6,0.0,0.0,0.0,0.0
t3951,25887.198316416856,0.0,2.0236812572996268e-6,1.307439598081651e-6,8048.115838777001,9021.338925873051,5.141516773010645e-6,0.0,0.0,0.0,0.0
t3952,25887.19831649406,0.0,2.032695128395262e-6,1.3117137800723047e-6,8048.115838947742,9021.338925992128,5.1428590939748495e-6,0.0,0.0,0.0,0.0
t3953,25887.198316628823,0.0,2.0511236989916646e-6,1.32088382609889e-6,8048.115839319664,9021.338926243285,5.145476027758454e-6,0.0,0.0,0.0,0.0
t3954,25887.19831681337,0.0,2.0803665959360735e-6,1.3365773765524888e-6,8048.115840041479,9021.338926676544,5.14939172859438e-6,0.0,0.0,0.0,0.0
t3955,25887.19831705067,0.0,2.1228130591082172e-6,1.361628059334912e-6,8048.115841742304,9021.338927433919,5.154631533477872e-6,0.0,0.0,0.0,0.0
t3956,25887.19831736308,0.0,2.182331811334324e-6,1.4007990550858371e-6,9458.05876789445,9021.338929126414,5.161153724649554e-6,0.0,0.0,0.0,0.0
t3957,25887.1983175827,0.0,2.236030189880007e-6,1.4341840669797674e-6,10296.256807415659,9021.338930260657,5.167299612703298e-6,0.0,0.0,0.0,0.0
t3958,25887.198317714814,0.0,2.2764641364610846e-6,1.4565234228003786e-6,10296.256809374,9021.338930810412,5.172293521627622e-6,0.0,0.0,0.0,0.0
