Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t8337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3391552278771996e-7,-1.4535377367628014e-10,0.0,0.0,3.337701690140437e-7
t8338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3391643228242174e-7,3.339156364745577e-7,0.0,0.0,6.678320687569794e-7
t8339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3391552278771996e-7,3.339137037983164e-7,0.0,0.0,6.678292265860364e-7
t8340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.662706487579271e-7,4.6627610572613776e-7,0.0,0.0,9.325467544840649e-7
t8341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6627246774733067e-7,4.6627246774733067e-7,0.0,0.0,9.325449354946613e-7
t8342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.662688297685236e-7,4.6627246774733067e-7,0.0,0.0,9.325412975158542e-7
t8343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.662706487579271e-7,4.6627246774733067e-7,0.0,0.0,9.325431165052578e-7
t8344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6627246774733067e-7,4.6627246774733067e-7,0.0,0.0,9.325449354946613e-7
t8345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.662706487579271e-7,4.6627246774733067e-7,0.0,0.0,9.325431165052578e-7
t8346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.662706487579271e-7,4.662742867367342e-7,0.0,0.0,9.325449354946613e-7
t8347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375298547325656e-7,-1.4384227932324532e-10,0.0,0.0,3.373860124532423e-7
t8348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3753167372196913e-7,-1.4384227933129638e-10,0.0,0.0,3.373878314426378e-7
t8349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375298547325656e-7,-1.4384227933513152e-10,0.0,0.0,3.3738601245323046e-7
t8350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375298547325656e-7,-1.4384227933411512e-10,0.0,0.0,3.3738601245323147e-7
t8351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375298547325656e-7,-1.438422793340694e-10,0.0,0.0,3.373860124532315e-7
t8352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375298547325656e-7,-1.4384227933069522e-10,0.0,0.0,3.373860124532349e-7
t8353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3753076422726735e-7,-1.438422793291769e-10,0.0,0.0,3.3738692194793816e-7
t8354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3753167372196913e-7,-1.4384227929838439e-10,0.0,0.0,3.3738783144267075e-7
t8355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375298547325656e-7,-1.438422793007898e-10,0.0,0.0,3.373860124532648e-7
t8356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01925717596896e-7,-1.2136329771631956e-10,0.0,0.0,4.018043542991797e-7
t8357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01925717596896e-7,-1.2136329768349835e-10,0.0,0.0,4.018043542992125e-7
t8358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01925717596896e-7,-1.2136329768327095e-10,0.0,0.0,4.018043542992127e-7
t8359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0192389860749245e-7,-1.2136329818445506e-10,0.0,0.0,4.01802535309308e-7
t8360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3753121897461824e-7,-1.4384227930174894e-10,0.0,0.0,3.3738737669531647e-7
t8361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3753076422726735e-7,-1.4384227929132748e-10,0.0,0.0,3.37386921947976e-7
t8362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3753121897461824e-7,3.3753076422726735e-7,0.0,0.0,6.750619832018856e-7
t8363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.662715582526289e-7,4.6627246774733067e-7,0.0,0.0,9.325440259999596e-7
t8364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.784348443034105e-7,6.784321158193052e-7,0.0,0.0,1.3568669601227157e-6
t8365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.784348443034105e-7,6.784393917769194e-7,0.0,0.0,1.3568742360803299e-6
t8366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.801683412049897e-7,6.80171069689095e-7,0.0,0.0,1.3603394108940847e-6
t8367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.793006832594983e-7,6.793052307330072e-7,0.0,0.0,1.3586059139925055e-6
t8368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.784343895560596e-7,6.784393917769194e-7,0.0,0.0,1.356873781332979e-6
t8369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.775692327209981e-7,6.775735528208315e-7,0.0,0.0,1.3551427855418297e-6
t8370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.767052127543138e-7,6.767040758859366e-7,0.0,0.0,1.3534092886402505e-6
t8371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635341540299123e-7,3.2635398383717984e-7,0.0,0.0,6.527073992401711e-7
t8372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635352908982895e-7,-1.4862032137999695e-10,0.0,0.0,3.2620490876844895e-7
t8373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.263533017161535e-7,-1.4862032138170474e-10,0.0,0.0,3.262046813947718e-7
t8374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635307434247807e-7,-1.486203213807769e-10,0.0,0.0,3.2620445402109727e-7
t8375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635307434247807e-7,-1.4862032137898647e-10,0.0,0.0,3.2620445402109907e-7
t8376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635398383717984e-7,-1.4862032137434898e-10,0.0,0.0,3.262053635158055e-7
t8377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635307434247807e-7,-1.486203213675579e-10,0.0,0.0,3.262044540211105e-7
t8378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.263533017161535e-7,-1.4862032136766213e-10,0.0,0.0,3.2620468139478584e-7
t8379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.263526195951272e-7,-1.4862032134760267e-10,0.0,0.0,3.262039992737796e-7
t8380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635352908982895e-7,-1.4862032128921442e-10,0.0,0.0,3.2620490876853974e-7
t8381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635307434247807e-7,-1.486203212595526e-10,0.0,0.0,3.262044540212185e-7
t8382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635352908982895e-7,-1.4862032123501747e-10,0.0,0.0,3.2620490876859395e-7
t8383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635352908982895e-7,-1.4862032130247748e-10,0.0,0.0,3.2620490876852645e-7
t8384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635352908982895e-7,-1.486203213183143e-10,0.0,0.0,3.262049087685106e-7
t8385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.263533017161535e-7,-1.4862032132908693e-10,0.0,0.0,3.2620468139482443e-7
