Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t65,0.0,6.682741550714835e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88992.86426036466,285172.7277021349
t66,0.0,6.684609872188014e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93124.71955327329,314488.1480908239
t67,0.0,6.687042032115506e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93124.71955372232,318849.20347611065
t68,0.0,6.689097138518036e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76625.85317294544,295161.3190685605
t69,0.0,6.690840765936429e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62925.26005850007,271580.7010778536
t70,0.0,6.693199888150453e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50800.10212069519,248148.1933703282
t71,0.0,6.695264676802448e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42809.819999666026,224925.08622393964
t72,0.0,6.697949310746521e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38592.754324462614,202001.96186816352
t73,0.0,6.700344539280979e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37745.11619432252,179509.68885363595
t74,0.0,6.702464844677638e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37745.116226628925,161614.1919944357
t75,0.0,6.705208271885495e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37745.116255536246,149177.46845299038
t76,0.0,6.707658096661286e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37745.11628163336,137586.79907133096
t77,0.0,6.709810382580794e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37745.11630536734,124814.48743022166
t78,0.0,6.712563877956636e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37192.803404636696,105780.72545531217
t79,0.0,6.715019340272507e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30360.942562448312,88428.76104168464
t80,0.0,6.71718080486694e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15324.179337699838,73035.6086151359
t81,0.0,6.719967353051979e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.942961838818866e-6,59760.87854330037
t82,0.0,6.722492869966275e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.106165896586485e-6,48612.96151289136
t83,0.0,6.724778928739637e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0675765669726316e-5,72024.48299385236
t84,0.0,6.727699452423624e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002157507206005e-5,112677.76982178474
t85,0.0,6.730348463482021e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11570.942723781749,153628.29040575205
