Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t4950,1.1085135785278354e-7,0.0,2.103313695924577e-7,1.678569678629336e-7,2.070396852535638e-7,1.5837374765608742e-7,1.2513547940214306e-8,0.0,0.0,0.0,0.0,8.669666761580403e-7
t4951,1.2942519888530188e-7,0.0,2.2831928271055605e-7,1.7647392974728704e-7,2.729937389035178e-7,1.970129827835002e-7,1.3039024803375995e-8,0.0,0.0,0.0,0.0,1.017264157833539e-6
t4952,1.6008245577993889e-7,0.0,2.5342624086164133e-7,1.8922188771517788e-7,4.2869044515657434e-7,2.730284861245093e-7,1.3617076945454394e-8,0.0,0.0,0.0,0.0,1.3180665925832962e-6
t4953,2.2327050009720513e-7,0.0,2.92701194541709e-7,2.1013299023557012e-7,1.309659138019456e-6,4.981876231722024e-7,1.4219993396063972e-8,0.0,0.0,0.0,0.0,2.5481714394622067e-6
t4954,1.949475773514786e-7,0.0,2.411070859093724e-7,1.8460397057185232e-7,6.90506938100753e-7,3.616185926030058e-7,1.3403160711472551e-8,0.0,0.0,0.0,0.0,1.6861873252479345e-6
t4955,1.8026806680661133e-7,0.0,2.092804563233693e-7,1.6933354720587858e-7,4.891114459518084e-7,2.955954562731195e-7,1.2633274009924545e-8,0.0,0.0,0.0,0.0,1.3562222465707116e-6
t4956,1.7062171943248495e-7,0.0,1.876471112494519e-7,1.5948877067463307e-7,3.836929633845525e-7,2.5374036684073817e-7,1.1934182316893657e-8,0.0,0.0,0.0,0.0,1.1671251138987542e-6
t4957,1.6184452105803366e-7,0.0,1.717677078690198e-7,1.5263575414302776e-7,3.150927063841425e-7,2.2188027306379472e-7,1.129292455702362e-8,0.0,0.0,0.0,0.0,1.0345138870750421e-6
t4958,1.505266021312707e-7,0.0,1.5934458633491496e-7,1.473917693454696e-7,2.6274904194420087e-7,1.9336848653914603e-7,1.0697035686342976e-8,0.0,0.0,0.0,0.0,9.240775219813451e-7
t4959,1.3153451719564382e-7,0.0,1.4905017260835832e-7,1.4285855235884142e-7,2.047577245163006e-7,1.6081961831589016e-7,1.0136311857412056e-8,0.0,0.0,0.0,0.0,7.991568968524464e-7
t4960,1.1318786439359766e-7,0.0,1.4005904676979263e-7,1.383762795670555e-7,1.613272149432452e-7,1.3319136081945575e-7,9.602360702384629e-9,0.0,0.0,0.0,0.0,6.957441271955314e-7
t4961,9.740410123467044e-8,0.0,1.3170020604543887e-7,1.3341009122505476e-7,1.2995684459135295e-7,1.111697916580408e-7,9.088138070965495e-9,0.0,0.0,0.0,0.0,6.127291728255233e-7
t4962,8.39918240677618e-8,0.0,1.2351918421438866e-7,1.2750972115241413e-7,1.0675554819258082e-7,9.361952342909362e-8,8.587724225777084e-9,0.0,0.0,0.0,0.0,5.439835252820162e-7
t4963,7.238500049539136e-8,0.0,1.1521984071365989e-7,1.2031989049970315e-7,8.898022213064077e-8,7.935781280409205e-8,8.097419729395583e-9,0.0,0.0,0.0,0.0,4.843601863728827e-7
t4964,6.20497290717487e-8,0.0,1.0655789662186815e-7,1.1154281277864367e-7,7.480411872497519e-8,6.743143319416915e-8,7.629695331282373e-9,0.0,0.0,0.0,0.0,4.3001568572268724e-7
t4965,6.603899496363658e-8,0.0,1.1598654762232939e-7,1.2054457544588062e-7,8.132418671710957e-8,7.274822284632411e-8,7.988759827053608e-9,0.0,0.0,0.0,0.0,4.646312874223339e-7
t4966,6.911496821543732e-8,0.0,1.2550222358110703e-7,1.2806916508606577e-7,8.749762168366862e-8,7.759243572889455e-8,8.376155689426918e-9,0.0,0.0,0.0,0.0,4.961525699846001e-7
t4967,7.12482605537037e-8,0.0,1.3496598122325714e-7,1.3421564663864844e-7,9.30335505804562e-8,8.173477088422494e-8,8.757001593875243e-9,0.0,0.0,0.0,0.0,5.239552114741657e-7
