BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1036,51854.5739846718,2846.4260185589364,-3.2856807379614168e-6,0.0,0.0,5.5100934233999724e-8,-1.5543797753072756e-10,0.0,0.0,-54701.0
t1037,50624.75572972828,4297.244273475693,-3.2589307238315983e-6,0.0,0.0,5.5114282035338655e-8,-1.5507556621360748e-10,0.0,0.0,-54922.0
t1038,49873.30772581819,6839.692276790893,-2.664405406117954e-6,0.0,0.0,5.547768234238273e-8,-1.4525118114298385e-10,0.0,0.0,-56713.0
t1039,50814.55445241746,10042.44555018657,-2.6593705540989585e-6,0.0,0.0,5.547768234436306e-8,-1.4525118112403187e-10,0.0,0.0,-60857.0
t1040,51070.20171058721,16343.798292010324,-2.652886763447295e-6,0.0,0.0,5.547768234661277e-8,-1.4525118110920833e-10,0.0,0.0,-67414.0
t1041,50066.97988827089,19021.0201143184,-2.6446363185509673e-6,0.0,0.0,5.547768234731163e-8,-1.4525118110068168e-10,0.0,0.0,-69088.0
t1042,54285.55567714294,13476.444324458102,-1.6563815329098494e-6,0.0,0.0,5.547768234585606e-8,-1.4525118113176242e-10,0.0,0.0,-67762.0
t1043,69231.39841839555,1.8659456972128501e-6,-1901.3984203110178,0.0,0.0,4.9815815991914e-8,-3.081463478142042e-10,0.0,0.0,-67330.0
t1044,90220.0578665752,4.400839699120621e-6,-23602.05787102552,0.0,0.0,4.979984954241723e-8,-3.0863710562891256e-10,0.0,0.0,-66618.0
t1045,96201.9430524119,4.436515791955896e-6,-30908.943056897908,0.0,0.0,4.9805164173506495e-8,-3.084737299946185e-10,0.0,0.0,-65293.0
t1046,98096.18370513902,4.472926265092104e-6,-34570.18370966144,0.0,0.0,4.981048632118453e-8,-3.083101440813142e-10,0.0,0.0,-63526.0
t1047,105365.6842840646,4.510092030778796e-6,-43614.68428862421,0.0,0.0,4.9815815986768255e-8,-3.0814634793574596e-10,0.0,0.0,-61751.0
t1048,112461.46627312459,4.5083495327833795e-6,-52701.466277682455,0.0,0.0,4.981581598545412e-8,-3.0814634796142066e-10,0.0,0.0,-59760.0
t1049,112426.06513865957,4.506557823106775e-6,-54061.06514321565,0.0,0.0,4.98158159850996e-8,-3.0814634796140603e-10,0.0,0.0,-58365.0
t1050,101281.89053007858,4.504656944579442e-6,-43567.89053463275,0.0,0.0,4.9815815986754425e-8,-3.0814634790528296e-10,0.0,0.0,-57714.0
t1051,79147.26644219962,4.550433966140873e-6,-20742.266446799586,0.0,0.0,4.9838154622559994e-8,-3.074600434889874e-10,0.0,0.0,-58405.0
t1052,54999.841032839104,6140.158970888991,-3.782483286855165e-6,0.0,0.0,5.4565628357642113e-8,-1.700641670329409e-10,0.0,0.0,-61140.0
t1053,40331.740216327235,21630.25978617424,-2.557123257314649e-6,0.0,0.0,5.578577276727972e-8,-1.3698575424203713e-10,0.0,0.0,-61962.0
t1054,40899.19966456675,20469.800337933615,-2.556011199804547e-6,0.0,0.0,5.578577276732966e-8,-1.3698575423622578e-10,0.0,0.0,-61369.0
t1055,40939.870820295495,18484.129182202945,-2.5540855776431004e-6,0.0,0.0,5.578577276673032e-8,-1.3698575423694886e-10,0.0,0.0,-59424.0
t1056,41116.112491902284,14530.887510593071,-2.5509983729786604e-6,0.0,0.0,5.578577276511606e-8,-1.3698575424733132e-10,0.0,0.0,-55647.0
t1057,41522.82404088674,10147.175961603923,-2.5463014407655317e-6,0.0,0.0,5.5785772760579154e-8,-1.369857543289331e-10,0.0,0.0,-51670.0
t1058,41656.45782421441,7460.542188360697,-1.2629244122388099e-5,0.0,0.0,5.431698701422989e-8,-1.7691929664789852e-10,0.0,0.0,-49117.0
t1059,41319.46825560628,6622.531756494282,-1.2154703402171349e-5,0.0,0.0,5.4329068599869876e-8,-1.7658529427709547e-10,0.0,0.0,-47942.0
t1060,41354.329245844296,6276.67076581733,-1.1715790456473277e-5,0.0,0.0,5.4341169514467074e-8,-1.762508508201717e-10,0.0,0.0,-47631.0
t1061,41193.58135796998,6659.418644510535,-2.53615673148415e-6,0.0,0.0,5.578577275968577e-8,-1.3698575430852844e-10,0.0,0.0,-47853.0
t1062,40562.21009597346,8711.789906491975,-2.5210776836361217e-6,0.0,0.0,5.5785772762553905e-8,-1.3698575424914316e-10,0.0,0.0,-49274.0
t1063,40544.77960009172,12944.22040235488,-2.5022417189345686e-6,0.0,0.0,5.578577276486429e-8,-1.3698575423326147e-10,0.0,0.0,-53489.0
t1064,40655.17273302516,19685.827269398585,-2.47938634575121e-6,0.0,0.0,5.578577276785191e-8,-1.3698575421430184e-10,0.0,0.0,-60341.0
t1065,39156.24501491741,22601.754986706717,-1.6797802940409766e-6,0.0,0.0,5.5785772769385736e-8,-1.3698575418420348e-10,0.0,0.0,-61758.0
t1066,58005.63450119012,1769.365501689137,-2.9310864988860203e-6,0.0,0.0,5.2067777227137085e-8,-2.407597759891448e-10,0.0,0.0,-59775.0
t1067,83052.91301329772,2.530453875195045e-6,-24594.913015876387,0.0,0.0,4.8579717723847015e-8,-3.467011764247079e-10,0.0,0.0,-58458.0
t1068,100374.94963818863,4.389251659143068e-6,-42993.94964262522,0.0,0.0,4.77290678165952e-8,-3.739087022597103e-10,0.0,0.0,-57381.0
t1069,109823.28563393975,8.249186597942688e-6,-53814.285642236304,0.0,0.0,4.772906779569721e-8,-3.739087029236216e-10,0.0,0.0,-56009.0
t1070,114278.1831639814,8.23872382772478e-6,-59879.18317226747,0.0,0.0,4.772906779400335e-8,-3.739087029642287e-10,0.0,0.0,-54399.0
t1071,112903.18510874367,8.222841656695178e-6,-59504.18511701387,0.0,0.0,4.7729067793261206e-8,-3.7390870297900945e-10,0.0,0.0,-53399.0
t1072,111317.05539832119,8.198789888755803e-6,-58661.05540656733,0.0,0.0,4.7729067792256566e-8,-3.7390870300440896e-10,0.0,0.0,-52656.0
t1073,106500.32986935305,8.163151202438214e-6,-54239.32987756356,0.0,0.0,4.7729067793072735e-8,-3.7390870297419743e-10,0.0,0.0,-52261.0
t1074,93791.8922989897,8.112589384626927e-6,-41731.89230714964,0.0,0.0,4.772906779434099e-8,-3.739087029312378e-10,0.0,0.0,-52060.0
t1075,72385.56165970545,9.515279701245454e-6,-19867.56166926945,0.0,0.0,4.904282930461974e-8,-3.3212212725789913e-10,0.0,0.0,-52518.0
t1076,44770.943661761165,10724.056341859541,-3.6732274085114547e-6,0.0,0.0,5.2743198650037186e-8,-2.212363158113929e-10,0.0,0.0,-55495.0
t1077,38941.53359463856,17593.46640886465,-3.555805560489654e-6,0.0,0.0,5.2819634354571104e-8,-2.1904625765841696e-10,0.0,0.0,-56535.0
t1078,41474.765530333934,14404.234473170245,-3.556779747673162e-6,0.0,0.0,5.281963435419662e-8,-2.1904625766332013e-10,0.0,0.0,-55879.0
t1079,40835.64738398711,13071.352619518044,-3.5577485757796036e-6,0.0,0.0,5.281963435291783e-8,-2.190462576815967e-10,0.0,0.0,-53907.0
t1080,40322.41614473405,10066.583858870337,-3.656955254416765e-6,0.0,0.0,5.278084445421328e-8,-2.2015718883772295e-10,0.0,0.0,-50389.0
t1081,39224.294963881905,7480.705039698445,-3.632920553631911e-6,0.0,0.0,5.279051962527333e-8,-2.198800006112836e-10,0.0,0.0,-46705.0
