Segment,1,2,3,4,Total
t83,-3.4569932104606726e-10,7.383568673008623e-10,7.691038528949356e-9,4.018198200157711e-8,4.826567807678126e-8
t84,-3.4558340208932103e-10,7.385002804816567e-10,7.691427774638e-9,4.0185114062909735e-8,4.826945871594007e-8
t85,-3.9054792878149967e-10,6.828998497604815e-10,7.54102246959543e-9,3.899343804764688e-8,4.682681243822129e-8
t86,-3.905479288387922e-10,6.828998496882724e-10,7.541022469398124e-9,3.899343804574942e-8,4.682681243599702e-8
t87,-3.905479288892509e-10,6.828998496248993e-10,7.541022469225369e-9,3.8993438044143365e-8,4.682681243410438e-8
t88,-3.9054792885937883e-10,6.828998496609353e-10,7.541022469320869e-9,3.8993438044662464e-8,4.682681243478489e-8
t89,-3.905479288472309e-10,6.828998496751574e-10,7.541022469357736e-9,3.899343804474797e-8,4.682681243493363e-8
t90,-3.9054792876649596e-10,6.828998497750733e-10,7.54102246962737e-9,3.899343804688591e-8,4.682681243752186e-8
t91,-3.1463521447955925e-10,7.768027495067559e-10,7.795628180393232e-9,4.1032765340035966e-8,4.9290561055456395e-8
t92,-1.369279785835798e-10,9.972739685259965e-10,8.404918309302123e-9,4.638574169248526e-8,5.56510059917298e-8
t93,-1.3692797856744468e-10,9.972739685462145e-10,8.40491830935906e-9,4.638574169307036e-8,5.5651005992408184e-8
t94,-1.3692797856642704e-10,9.972739685470452e-10,8.404918309360538e-9,4.638574169294554e-8,5.5651005992286695e-8
t95,-1.3692797856701085e-10,9.972739685448062e-10,8.404918309351332e-9,4.638574169237655e-8,5.5651005991705676e-8
t96,-1.3692797860239172e-10,9.972739684977702e-10,8.40491830921365e-9,4.6385741690109224e-8,5.565100598921825e-8
t97,-1.5383285392465373e-10,9.762617425081378e-10,8.346140799731702e-9,4.5837680272350336e-8,5.500624996066552e-8
t98,-1.8494758492843796e-10,9.376087553267438e-10,8.238410484212513e-9,4.485157630914432e-8,5.384264796375514e-8
t99,-1.8462416879982904e-10,9.380103822628785e-10,8.239527251488408e-9,4.486167861023359e-8,5.3854592075185044e-8
