Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t23,3.387028025029715e-7,0.0,1.5170635675711213e-7,1.5038758644353627e-7,5.947215987205863e-7,8.627149874577366e-7,2.4731424469685263e-8,0.0,0.0,0.0,0.0,2.1229647563516283e-6
t24,2.7383218096706485e-7,0.0,1.4758763452718574e-7,1.4772389014411427e-7,4.958605865853334e-7,6.229581230386999e-7,2.4195858387025217e-8,0.0,0.0,0.0,0.0,1.7121582736494234e-6
t25,2.3545628779693277e-7,0.0,1.4419419500060657e-7,1.4571796324765696e-7,4.2579594804282814e-7,4.865447345830714e-7,2.3677832083731984e-8,0.0,0.0,0.0,0.0,1.4613869607548277e-6
t26,2.1196686311913718e-7,0.0,1.411391050726521e-7,1.4400492687259452e-7,3.7318129753952643e-7,3.985048881094906e-7,2.3173139686315056e-8,0.0,0.0,0.0,0.0,1.291970220399716e-6
t27,1.9769346431006645e-7,0.0,1.3809705198294166e-7,1.4227887216253618e-7,3.317152411892007e-7,3.369830677426688e-7,2.269349884975548e-8,0.0,0.0,0.0,0.0,1.1694611962371693e-6
t28,2.0478016807679636e-7,0.0,1.3893435338564142e-7,1.4476367389424735e-7,3.188688520910157e-7,3.325826626810925e-7,2.2551118705637786e-8,0.0,0.0,0.0,0.0,1.1624808288344312e-6
t29,1.9738942800877016e-7,0.0,1.3519545511129057e-7,1.4295671260375089e-7,2.874045173874935e-7,2.8823705417189136e-7,2.2060403771529343e-8,0.0,0.0,0.0,0.0,1.0732435710547257e-6
t30,1.9170223403257634e-7,0.0,1.3100449611205494e-7,1.4101829161281626e-7,2.6087217587226625e-7,2.526594823779447e-7,2.1545950848828677e-8,0.0,0.0,0.0,0.0,9.98802630856487e-7
t31,1.859496109833844e-7,0.0,1.2632047488507884e-7,1.3863717047102166e-7,2.3821636964006233e-7,2.2462417989257172e-7,2.1020520074245226e-8,0.0,0.0,0.0,0.0,9.347683259463642e-7
t32,1.786823516530826e-7,0.0,1.211712401788317e-7,1.354765151736983e-7,2.1861828908573154e-7,2.019846586431172e-7,2.0483896457215448e-8,0.0,0.0,0.0,0.0,8.764169511916768e-7
t33,1.6869954974475774e-7,0.0,1.1552960563029568e-7,1.3111841182803104e-7,2.01392584563717e-7,1.8332456267116943e-7,1.9941022550351525e-8,0.0,0.0,0.0,0.0,8.200057369883225e-7
t34,1.5522648806098927e-7,0.0,1.0930731909422857e-7,1.2499698143101063e-7,1.8573399705186343e-7,1.6652698655532223e-7,1.9439033951958452e-8,0.0,0.0,0.0,0.0,7.612308061453725e-7
t35,1.5930190389532338e-7,0.0,1.0765304914861723e-7,1.232501898003065e-7,1.859764480328926e-7,1.714409728677689e-7,1.956492507496376e-8,0.0,0.0,0.0,0.0,7.671874888198723e-7
t36,1.8454984194989533e-7,0.0,1.105575248488332e-7,1.258507991201139e-7,2.018825375468762e-7,1.8788269813795954e-7,2.0310366053978808e-8,0.0,0.0,0.0,0.0,8.310337676576571e-7
t37,2.404545988288672e-7,0.0,1.1690643884513405e-7,1.313602088907467e-7,2.349399670068887e-7,2.2060902245812459e-7,2.14968922372989e-8,0.0,0.0,0.0,0.0,9.6576712826706e-7
t38,3.3233138800528905e-7,0.0,1.2340429307841097e-7,1.357356521798419e-7,2.7965044008824755e-7,2.662218565444493e-7,2.2799326673580236e-8,0.0,0.0,0.0,0.0,1.1601429565698189e-6
t39,5.127173319598664e-7,0.0,1.306064462543918e-7,1.397040900297207e-7,3.441545858193009e-7,3.3428474129979936e-7,2.4218111716069826e-8,0.0,0.0,0.0,0.0,1.485685307079149e-6
t40,1.013925132377667e-6,0.0,1.3912294243645747e-7,1.4406627651371342e-7,4.46254770326052e-7,4.4688137396472833e-7,2.577195590987002e-8,0.0,0.0,0.0,0.0,2.2160224515284883e-6
t41,3.4137241944665016e-6,0.0,1.499099117256051e-7,1.4985883957142382e-7,6.344180090928862e-7,6.691834619875844e-7,2.7486858176995198e-8,0.0,0.0,0.0,0.0,5.044581275020995e-6
t42,743.7001583071562,0.0,1.6459004271993892e-7,1.586869605398317e-7,1.105542365110978e-6,1.3150291019678145e-6,2.938275336377063e-8,0.0,0.0,0.0,0.0,743.7001610803873
