Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t6947,647.3428615944592,0.0,0.0,1.470736779618179e-6,9.528164309337574e-7,1.3063506013054446e-5,363.0684312450331,4.922374507174889e-6,0.0,0.0,0.0,0.0,0.0
t6948,647.3428613377125,0.0,0.0,1.4573091024342424e-6,9.425465893473556e-7,1.3122906206640398e-5,363.0684314678629,4.919280088456229e-6,0.0,0.0,0.0,0.0,0.0
t6949,647.3428612083733,0.0,0.0,1.4511389223807685e-6,9.378531924337049e-7,1.3259318239318739e-5,363.0684318555989,4.91700989833524e-6,0.0,0.0,0.0,0.0,0.0
t6950,647.3428611921872,0.0,0.0,1.451962693908787e-6,9.374676376983438e-7,1.3485553152623941e-5,363.0684324970309,4.9155714382290715e-6,0.0,0.0,0.0,0.0,0.0
t6951,647.3428612891515,0.0,0.0,1.4601122070497123e-6,9.412380426221983e-7,1.3826426354172253e-5,363.0684336355228,4.9149482619842385e-6,0.0,0.0,0.0,0.0,0.0
t6952,647.3428614875705,0.0,0.0,1.4758370674972437e-6,9.50161329804754e-7,1.4326096354488241e-5,363.0684364031978,4.915122581176617e-6,0.0,0.0,0.0,0.0,0.0
t6953,647.3428618061097,0.0,0.0,1.5000180612677456e-6,9.665803957648935e-7,1.507199811073102e-5,796.369494346142,4.9160516707639945e-6,0.0,0.0,0.0,0.0,0.0
t6954,647.3428622761604,0.0,0.0,1.5343736585046144e-6,9.949893441321815e-7,1.6280409214790857e-5,796.3695485347578,4.917567347750026e-6,0.0,0.0,0.0,0.0,0.0
t6955,647.3428625835531,0.0,0.0,1.563301882413934e-6,1.0210095229362876e-6,1.7154689697197437e-5,796.36955055199,4.917093237796471e-6,0.0,0.0,0.0,0.0,0.0
t6956,647.3428628296051,0.0,0.0,1.5893645498101934e-6,1.0512778484698434e-6,1.7797934918776974e-5,796.3695514704349,4.9141268279095754e-6,0.0,0.0,0.0,0.0,0.0
t6957,647.3428623643708,0.0,0.0,1.5476931809807892e-6,1.0106785459704479e-6,1.6120713935181642e-5,717.0980662316737,4.897040979385103e-6,0.0,0.0,0.0,0.0,0.0
t6958,647.342861826659,0.0,0.0,1.507648951158821e-6,9.788848360394397e-7,1.3988461308445508e-5,433.3011317737359,4.877844490060477e-6,0.0,0.0,0.0,0.0,0.0
t6959,647.3428610422105,0.0,0.0,1.4675450284512543e-6,9.49795037264286e-7,1.1812455450160921e-5,6.049035029185618e-5,4.857308858417186e-6,0.0,0.0,0.0,0.0,0.0
t6960,647.3428604706553,0.0,0.0,1.4382489148537222e-6,9.32640745251695e-7,1.0733270362774391e-5,2.486169830804001e-5,4.837751749590207e-6,0.0,0.0,0.0,0.0,0.0
t6961,647.3428600163764,0.0,0.0,1.4171221378271951e-6,9.225704447757721e-7,1.0029772948726107e-5,2.1751344580318593e-5,4.819242566302978e-6,0.0,0.0,0.0,0.0,0.0
t6962,647.3428596716902,0.0,0.0,1.4024266079926391e-6,9.168140893811984e-7,9.522179769712825e-6,2.0091341854152416e-5,4.801716186543358e-6,0.0,0.0,0.0,0.0,0.0
t6963,647.3428594823067,0.0,0.0,1.3930490571824511e-6,9.137843755663332e-7,9.137389808936365e-6,1.896493312401516e-5,4.785089392260935e-6,0.0,0.0,0.0,0.0,0.0
t6964,647.3428594282035,0.0,0.0,1.387637333211834e-6,9.126359337597877e-7,8.836157598643845e-6,1.811829351541302e-5,4.769283104430209e-6,0.0,0.0,0.0,0.0,0.0
t6965,647.3428594992279,0.0,0.0,1.385291374761189e-6,9.130359019213519e-7,8.596213268388776e-6,1.74458413394876e-5,4.754225217934999e-6,0.0,0.0,0.0,0.0,0.0
t6966,647.3428596490211,0.0,0.0,1.3854314163703922e-6,9.150742580294071e-7,8.403600144205845e-6,1.689331271152444e-5,4.739842760180278e-6,0.0,0.0,0.0,0.0,0.0
t6967,647.3428598703584,0.0,0.0,1.387815020334951e-6,9.193030592900506e-7,8.249037938766996e-6,1.6429169826434082e-5,4.726029048449679e-6,0.0,0.0,0.0,0.0,0.0
t6968,647.3428600644812,0.0,0.0,1.3903069034723814e-6,9.240645473445516e-7,8.108955769544728e-6,1.599652582376873e-5,4.712254902256843e-6,0.0,0.0,0.0,0.0,0.0
t6969,647.3428597132427,0.0,0.0,1.382527118806808e-6,9.169790086761021e-7,7.888100508278627e-6,1.5338211948514116e-5,4.69666363441479e-6,0.0,0.0,0.0,0.0,0.0
t6970,647.3428594002575,0.0,0.0,1.3763315113750115e-6,9.12614444305564e-7,7.694404762130945e-6,1.4761109435683478e-5,4.6813637220518165e-6,0.0,0.0,0.0,0.0,0.0
t6971,647.342859078032,0.0,0.0,1.37100398638825e-6,9.09680249115304e-7,7.520592608551988e-6,1.4244206224318166e-5,4.666447523188372e-6,0.0,0.0,0.0,0.0,0.0
t6972,647.3428587507758,0.0,0.0,1.3660949834257953e-6,9.073528450722206e-7,7.361159390945732e-6,1.3771668813110972e-5,4.6518994049645506e-6,0.0,0.0,0.0,0.0,0.0
t6973,647.3428584151939,0.0,0.0,1.361199633904771e-6,9.049751707834299e-7,7.211388485768673e-6,1.3331581356809238e-5,4.637687444602472e-6,0.0,0.0,0.0,0.0,0.0
t6974,647.3428580594913,0.0,0.0,1.3559195677583329e-6,9.018744829943968e-7,7.067019280827442e-6,1.2914346993198662e-5,4.623794033687189e-6,0.0,0.0,0.0,0.0,0.0
t6975,647.3428576537433,0.0,0.0,1.3497936426833877e-6,8.971631699420202e-7,6.923920560765972e-6,1.2511594686262752e-5,4.6102497992768225e-6,0.0,0.0,0.0,0.0,0.0
t6976,647.3428572870534,0.0,0.0,1.3439486490777444e-6,8.918714531576203e-7,6.791866568848793e-6,1.2144460158317469e-5,4.597446853456689e-6,0.0,0.0,0.0,0.0,0.0
t6977,647.3428576157587,0.0,0.0,1.3478802080229404e-6,8.979293745942629e-7,6.738490656949182e-6,1.1928573977330017e-5,4.586923457650912e-6,0.0,0.0,0.0,0.0,0.0
