Segment,1,2,3,4,Total
t29,-2.407597762500689e-10,8.683449665974008e-10,8.046630377715996e-9,4.31528017671734e-8,5.182701733523673e-8
t30,-1.5771063020748417e-10,9.714429564251928e-10,8.332682499858913e-9,4.5713198648669005e-8,5.4859613474745624e-8
t31,-1.5771062154190906e-10,9.714429672185079e-10,8.332682530043679e-9,4.571319893539422e-8,5.485961381111449e-8
t32,-1.577106212708703e-10,9.714429675735586e-10,8.3326825310704e-9,4.571319895059737e-8,5.485961382797045e-8
t33,-1.5771062142313523e-10,9.714429674040867e-10,8.332682530635483e-9,4.5713198952764626e-8,5.485961382938106e-8
t34,-1.5771062227785062e-10,9.714429663597993e-10,8.332682527754264e-9,4.571319893173005e-8,5.485961380356626e-8
t35,-2.407597752710996e-10,8.683449679214921e-10,8.046630381577307e-9,4.315280183263355e-8,5.1827017406861245e-8
t36,-2.407597763060134e-10,8.683449666423963e-10,8.04663037805905e-9,4.3152801803395724e-8,5.1827017371791156e-8
t37,-2.407597764054407e-10,8.683449665186891e-10,8.046630377717214e-9,4.3152801800315006e-8,5.182701736814547e-8
t38,-2.4075977639507467e-10,8.683449665299022e-10,8.046630377744974e-9,4.315280180007786e-8,5.1827017367957664e-8
t39,-2.4075977646809797e-10,8.683449664385521e-10,8.046630377491605e-9,4.315280179765166e-8,5.1827017365113724e-8
t40,-2.407597760756082e-10,8.683449669290894e-10,8.046630378851325e-9,4.3152801810542565e-8,5.182701738024737e-8
t41,-1.5771062213238925e-10,9.714429665794776e-10,8.332682528443102e-9,4.571319895029059e-8,5.485961382318078e-8
t42,-1.5771062156005575e-10,9.714429673091642e-10,8.332682530516301e-9,4.5713198975235577e-8,5.485961385150099e-8
t43,-1.5771062158793297e-10,9.714429672726343e-10,8.332682530410642e-9,4.5713198973667236e-8,5.485961384976258e-8
t44,-1.5771062187156493e-10,9.7144296691487e-10,8.332682529401422e-9,4.571319896267875e-8,5.485961383712348e-8
t45,-1.5771062134085392e-10,9.714429675650397e-10,8.332682531198706e-9,4.5713198976364314e-8,5.48596138537872e-8
t46,-1.5771062068025114e-10,9.71442968369602e-10,8.332682533413475e-9,4.571319899170824e-8,5.4859613872811073e-8
t47,-1.5771061971450889e-10,9.714429695458693e-10,8.332682536651584e-9,4.5713199014163484e-8,5.485961390064643e-8
t48,-3.2527008485456916e-11,1.1272248318866327e-9,8.771818124280064e-9,4.997712880381498e-8,5.984364475149623e-8
t49,-3.1998748550015157e-11,1.1278831774754685e-9,8.773691869434954e-9,4.9996260972060413e-8,5.986583727042082e-8
t50,-3.1469773392301715e-11,1.1285424225575497e-9,8.775568327344836e-9,5.0015429248353166e-8,5.988807022486326e-8
t51,-3.0940079915390015e-11,1.129202571022198e-9,8.777447509718553e-9,5.003463379317554e-8,5.99103437940009e-8
t52,-3.04096670762843e-11,1.1298636242034887e-9,8.77932942100345e-9,5.005387469459771e-8,5.993265807272835e-8
t53,-2.9878533657252076e-11,1.130525583657201e-9,8.781214066287915e-9,5.0073152048788764e-8,5.995501316507663e-8
t54,4.253684019942709e-10,1.7009415225371183e-9,1.0464593244184197e-8,7.152243208363184e-8,8.411333525234742e-8
