BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t4902,8912.062109143975,2019.937933506682,-4.2708965262477375e-5,0.0,0.0,5.837614212954219e-8,-6.972728227446111e-11,0.0,0.0,-10932.0
t4903,9465.387578585185,2469.612457122161,-3.5765672791567846e-5,0.0,0.0,5.839506143240771e-8,-6.925031723752149e-11,0.0,0.0,-11935.0
t4904,10298.16645687076,3006.833545315449,-2.2473559235167114e-6,0.0,0.0,6.114510102900027e-8,-2.006163908012873e-12,0.0,0.0,-13305.0
t4905,12014.752031166669,2473.2479710137964,-2.241608960442649e-6,0.0,0.0,6.114510096111394e-8,-2.0061657013751826e-12,0.0,0.0,-14488.0
t4906,13447.675313077512,2010.324688918753,-2.0574086376506258e-6,0.0,0.0,6.114510067701832e-8,-2.006172569190077e-12,0.0,0.0,-15458.0
t4907,14829.599888567307,1491.4001224186015,-1.1043348197955311e-5,0.0,0.0,5.7531195810560284e-8,-9.123609328262794e-11,0.0,0.0,-16321.0
t4908,15747.106089978037,1133.8939158407056,-5.876197314642553e-6,0.0,0.0,5.7548633994648205e-8,-9.078805682367866e-11,0.0,0.0,-16881.0
t4909,16989.11301090866,378.8869934109045,-4.377036232364449e-6,0.0,0.0,5.756610243205066e-8,-9.03394191394071e-11,0.0,0.0,-17368.0
t4910,17264.15077556629,523.8492279491063,-3.5728978050200646e-6,0.0,0.0,5.758360120898477e-8,-8.989017884083289e-11,0.0,0.0,-17788.0
t4911,17813.701625126396,134.2983772576182,-2.441527121377277e-6,0.0,0.0,5.760113034823034e-8,-8.9440336152549e-11,0.0,0.0,-17948.0
t4912,17792.000051751114,2.014988912936664e-6,-5.3817937224639175e-5,0.0,0.0,5.206777717971732e-8,-2.4075977627235767e-10,0.0,0.0,-17792.0
t4913,17488.000017773284,3.7782147059678384e-6,-2.1603325030514893e-5,0.0,0.0,5.2067777177693204e-8,-2.407597763041456e-10,0.0,0.0,-17488.0
t4914,17100.000011739485,4.199903408515845e-6,-1.5991217130943542e-5,0.0,0.0,5.206777717458614e-8,-2.4075977635856933e-10,0.0,0.0,-17100.0
t4915,16488.000008759573,4.662465437180465e-6,-1.3473867260970991e-5,0.0,0.0,5.206777717351197e-8,-2.40759776329471e-10,0.0,0.0,-16488.0
t4916,15862.00000672002,5.223281798567929e-6,-1.1995126895040089e-5,0.0,0.0,5.2067777170249015e-8,-2.407597763579378e-10,0.0,0.0,-15862.0
t4917,15587.000004997037,5.951007034332059e-6,-1.0999871347101349e-5,0.0,0.0,5.206777716965014e-8,-2.4075977634443943e-10,0.0,0.0,-15587.0
t4918,14745.000003248446,6.96888469118004e-6,-1.0269158432262121e-5,0.0,0.0,5.206777716353672e-8,-2.4075977642061904e-10,0.0,0.0,-14745.0
t4919,13201.000001091945,8.550838806473666e-6,-9.694612632867917e-6,0.0,0.0,5.206777715427702e-8,-2.4075977646969464e-10,0.0,0.0,-13201.0
t4920,13180.68580585652,3.433346640223591e-6,-1476.6858093407832,0.0,0.0,5.1186281640087895e-8,-2.667102729749937e-10,0.0,0.0,-11704.0
t4921,11709.704389695054,3.6009332259823438e-6,-1143.7043933469145,0.0,0.0,5.119359397872e-8,-2.66492777083217e-10,0.0,0.0,-10566.0
t4922,12217.419015322193,3.629307216849325e-6,-2385.4190190024365,0.0,0.0,5.120091705589643e-8,-2.6627499951649814e-10,0.0,0.0,-9832.0
t4923,10132.659301807427,3.6582633256073896e-6,-754.6593055166327,0.0,0.0,5.1208250913047146e-8,-2.6605693920036887e-10,0.0,0.0,-9378.0
t4924,10607.337701978366,3.67271837082419e-6,-1494.3377057020346,0.0,0.0,5.1215595537405334e-8,-2.65838596663477e-10,0.0,0.0,-9113.0
t4925,11610.595712615339,3.685404320091634e-6,-2462.5957163517,0.0,0.0,5.122295097170825e-8,-2.656199708404571e-10,0.0,0.0,-9148.0
t4926,12883.076996287897,3.696466527150405e-6,-3336.0770000353273,0.0,0.0,5.1230317227940386e-8,-2.6540106155129814e-10,0.0,0.0,-9547.0
t4927,14256.93545054035,3.7057725350188695e-6,-3744.9354542970955,0.0,0.0,5.1237694325224455e-8,-2.651818684117946e-10,0.0,0.0,-10512.0
t4928,13936.16920920641,3.713022429779272e-6,-2184.169212970414,0.0,0.0,5.124508228103567e-8,-2.6496239093467726e-10,0.0,0.0,-11752.0
t4929,14254.281875321758,3.7177153646800114e-6,-1629.2818790904626,0.0,0.0,5.1252481103569815e-8,-2.6474262891015603e-10,0.0,0.0,-12625.0
t4930,14571.818256187367,3.719018175147348e-6,-1348.818259957382,0.0,0.0,5.125989081452219e-8,-2.645225819054444e-10,0.0,0.0,-13223.0
t4931,14979.906880778894,3.7154171232752455e-6,-1287.906884545311,0.0,0.0,5.126731143327593e-8,-2.6430224954207416e-10,0.0,0.0,-13692.0
t4932,14981.3418039186,3.7036014147446866e-6,-986.3418076732121,0.0,0.0,5.127474297921377e-8,-2.6408163140550125e-10,0.0,0.0,-13995.0
t4933,14449.914889994738,3.6726275676940266e-6,-247.91489371838324,0.0,0.0,5.128218547938855e-8,-2.6386072686756556e-10,0.0,0.0,-14202.0
t4934,14496.000004654641,6.660452399865695e-6,-1.1366921093094274e-5,0.0,0.0,5.2067777159559486e-8,-2.407597765040828e-10,0.0,0.0,-14496.0
t4935,14744.000008800138,4.999156417533385e-6,-1.3851118033710318e-5,0.0,0.0,5.2067777168639064e-8,-2.407597762718349e-10,0.0,0.0,-14744.0
t4936,14971.000019276153,3.933921960370276e-6,-2.326190400898357e-5,0.0,0.0,5.2067777246261335e-8,-2.4075977403892866e-10,0.0,0.0,-14971.0
t4937,14254.044497382614,913.9555054736809,-2.9142871773403617e-6,0.0,0.0,5.806777498102047e-8,-7.752988131707474e-11,0.0,0.0,-15168.0
t4938,15591.185485139547,3.7721999562997767e-6,-431.18548896746273,0.0,0.0,5.5852298278995274e-8,-1.3520862434676096e-10,0.0,0.0,-15160.0
t4939,12998.467593486517,1755.5324093649754,-2.9095174944822273e-6,0.0,0.0,5.810455770148468e-8,-7.659634018570097e-11,0.0,0.0,-14754.0
t4940,12758.393005422186,1468.6069974174238,-2.897656358154966e-6,0.0,0.0,5.812299758236548e-8,-7.612862731638282e-11,0.0,0.0,-14227.0
