Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t122,3.2279612619246826e-7,0.0,0.0,1.1509631564666872e-7,1.2395374759757905e-7,1.0337581310128705e-6,2.6925866120186987e-6,3.203900108865134e-8,0.0,0.0,0.0,0.0,0.0,4.320229933556937e-6
t123,2.735402772692452e-7,0.0,0.0,1.1109649178765481e-7,1.212561733070601e-7,7.479733353423566e-7,1.3535866671882256e-6,3.126401321728517e-8,0.0,0.0,0.0,0.0,0.0,2.6387169581118275e-6
t124,2.4039049936275785e-7,0.0,0.0,1.076545893894914e-7,1.1896747659805193e-7,5.913348030529426e-7,9.024933365450921e-7,3.057746264657649e-8,0.0,0.0,0.0,0.0,0.0,1.9914181675949124e-6
t125,2.1665602853543454e-7,0.0,0.0,1.0442004028296813e-7,1.1649588569133407e-7,4.91637625887172e-7,6.760290867140611e-7,2.999276025297942e-8,0.0,0.0,0.0,0.0,0.0,1.6352314273639493e-6
t126,1.964222836485046e-7,0.0,0.0,1.01103532017506e-7,1.1324114643474882e-7,4.2157713696002845e-7,5.397157957212504e-7,2.9572653379040436e-8,0.0,0.0,0.0,0.0,0.0,1.4016325481610787e-6
t127,2.3663492221297885e-7,0.0,0.0,1.0522709367464664e-7,1.1788969416354476e-7,4.856706245544502e-7,7.430994645355474e-7,3.0926670944426606e-8,0.0,0.0,0.0,0.0,0.0,1.7194484700855944e-6
t128,2.9188556623986804e-7,0.0,0.0,1.0944065055666056e-7,1.2171084367702026e-7,5.742528177587694e-7,1.189840736157699e-6,3.257857399017215e-8,0.0,0.0,0.0,0.0,0.0,2.3197091883801893e-6
t129,3.794872725107596e-7,0.0,0.0,1.1411838414524453e-7,1.25616818286023e-7,7.097623707109182e-7,2.947660183716908e-6,3.44418976481393e-8,0.0,0.0,0.0,0.0,0.0,4.3110869270179925e-6
t130,5.656912673804689e-7,0.0,0.0,1.1978127701167297e-7,1.3071974304797305e-7,9.508834748782644e-7,0.00023813188359648432,3.6374183908218896e-8,0.0,0.0,0.0,0.0,0.0,0.00023993533354271093
t131,4.955960108722165e-7,0.0,0.0,1.1634109807538468e-7,1.263021263331856e-7,7.756143939828453e-7,1.77286586717601e-5,3.621687310895458e-8,0.0,0.0,0.0,0.0,0.0,1.9278729174132686e-5
t132,4.632677176321136e-7,0.0,0.0,1.1379957416314278e-7,1.2377161786835678e-7,6.680992436193408e-7,4.0959657718239656e-6,3.599619486288643e-8,0.0,0.0,0.0,0.0,0.0,5.5009001199698055e-6
t133,4.468019193461568e-7,0.0,0.0,1.1174309401079082e-7,1.2228542527972577e-7,5.962170830293172e-7,2.4951445832912104e-6,3.5827747978498784e-8,0.0,0.0,0.0,0.0,0.0,3.8080198529357e-6
t134,4.3898049542123676e-7,0.0,0.0,1.1008869579384082e-7,1.2140964075509987e-7,5.456246489214374e-7,1.865430578154195e-6,3.5727115278071804e-8,0.0,0.0,0.0,0.0,0.0,3.117261174323882e-6
t135,4.370878990223379e-7,0.0,0.0,1.0878645710844737e-7,1.2089815442801907e-7,5.089691294862829e-7,1.5313393399642015e-6,3.569217508801951e-8,0.0,0.0,0.0,0.0,0.0,2.742773155097308e-6
t136,4.405351702597165e-7,0.0,0.0,1.078209312246908e-7,1.206099592242499e-7,4.821220320850011e-7,1.3278773535008723e-6,3.571762937926045e-8,0.0,0.0,0.0,0.0,0.0,2.5146830756737914e-6
t137,4.5039966922456376e-7,0.0,0.0,1.0721551723840562e-7,1.2046626178541374e-7,4.6263986027030424e-7,1.1948583724630352e-6,3.5798486697223554e-8,0.0,0.0,0.0,0.0,0.0,2.371378167678946e-6
t138,4.700314466615276e-7,0.0,0.0,1.0688320177578078e-7,1.2042769466854468e-7,4.489685733135633e-7,1.1052270580815025e-6,3.5935449794546264e-8,0.0,0.0,0.0,0.0,0.0,2.287473424295465e-6
