Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t16,1.1719306543277149e-7,0.0,0.0,1.5103006851075357e-7,1.375586149377817e-7,3.072650328816642e-7,1.7530528385199176e-7,1.2800362327438168e-8,0.0,0.0,0.0,0.0,0.0,9.01152427942401e-7
t17,1.2214761342194077e-7,0.0,0.0,1.5647872161279716e-7,1.4447580151020704e-7,3.206648410764834e-7,1.816458617062292e-7,1.3083127304725668e-8,0.0,0.0,0.0,0.0,0.0,9.384959666323832e-7
t18,1.325254294604319e-7,0.0,0.0,1.6394436534763694e-7,1.5634555474262257e-7,3.564799413097522e-7,1.9647433708874033e-7,1.3300917247189361e-8,0.0,0.0,0.0,0.0,0.0,1.0190705451963733e-6
t19,8.841769087737469e-8,0.0,0.0,1.2425444036228836e-7,1.262107727003624e-7,1.4797199063587863e-7,1.0986002236057665e-7,1.143097279977741e-8,0.0,0.0,0.0,0.0,0.0,6.081458897362582e-7
t20,6.491205037370331e-8,0.0,0.0,9.852854321359914e-8,1.0433269933067676e-7,9.065302392600008e-8,7.432278093058289e-8,9.770888849658886e-9,0.0,0.0,0.0,0.0,0.0,4.4251998662422106e-7
t21,6.853677943428711e-8,0.0,0.0,9.992111356491927e-8,1.087427771025579e-7,9.453999996015276e-8,7.74821319992833e-8,9.732887385768161e-9,0.0,0.0,0.0,0.0,0.0,4.589556894469685e-7
t22,7.110291652040244e-8,0.0,0.0,9.978919192904025e-8,1.1075282969641547e-7,9.746100855562706e-8,7.969883553405075e-8,9.645614953445318e-9,0.0,0.0,0.0,0.0,0.0,4.684503971889813e-7
t23,7.28040354414696e-8,0.0,0.0,9.822322692042719e-8,1.1037454038552126e-7,9.938431454275878e-8,8.096307347298405e-8,9.501603919192515e-9,0.0,0.0,0.0,0.0,0.0,4.712507946823534e-7
t24,7.389203147773312e-8,0.0,0.0,9.525019287989445e-8,1.0739057137174271e-7,1.0026894723965111e-7,8.131916369144889e-8,9.32675722486574e-9,0.0,0.0,0.0,0.0,0.0,4.6744766388533605e-7
t25,8.373646075493434e-8,0.0,0.0,9.690984524327691e-8,1.0896687864473997e-7,1.1449306686587954e-7,9.1262444274314e-8,9.530996433954373e-9,0.0,0.0,0.0,0.0,0.0,5.048996922170991e-7
t26,1.0415358880960786e-7,0.0,0.0,1.0214269959902956e-7,1.1399258066330668e-7,1.3991616035019488e-7,1.1346155245229952e-7,1.002648883319904e-8,0.0,0.0,0.0,0.0,0.0,5.836930707076376e-7
t27,1.2565113289052448e-7,0.0,0.0,1.0672874523983274e-7,1.1773774282662016e-7,1.6809502605662562e-7,1.397174016209418e-7,1.0542127600481297e-8,0.0,0.0,0.0,0.0,0.0,6.68472176235026e-7
t28,1.5002285451979232e-7,0.0,0.0,1.1087407115719433e-7,1.208325576781934e-7,2.0208664223823786e-7,1.7286735773234213e-7,1.1071272680717238e-8,0.0,0.0,0.0,0.0,0.0,7.677547560064772e-7
