Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t5115,0.0,1.540073940150693e-6,0.0005590179444512689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.3183303413495,193520.4579673184
t5116,0.0,1.5429736290921771e-6,0.000560193092724583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.1275221750158,193278.5573953199
t5117,0.0,1.5458546587726833e-6,0.0005613783300691159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.5578255582606,193036.9591990476
t5118,0.0,1.5489435392109925e-6,0.0005625738629101031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.1708598319661,192795.66300053184
t5119,0.0,1.5522558381843394e-6,0.0005637799065557011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.1649973938098,192554.66842227554
t5120,0.0,1.5555913039154367e-6,0.000564996685961703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.5180246389624,192313.97508725346
t5121,0.0,1.5591874561742898e-6,0.0005662244364970363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.4072250970676,192073.5826189116
t5122,0.0,1.563063861519844e-6,0.0005674634049191172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.6284016953502,191833.49064116666
t5123,0.0,1.5670217475574976e-6,0.0005687138503149061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.1805335879758,191593.69877840544
t5124,0.0,1.5712982324883683e-6,0.0005699760453914984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.4100069119731,191354.20665548433
t5125,0.0,1.57590815123976e-6,0.0005712502777704494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.4083164711415,191115.01389772852
t5126,0.0,1.5806347912321667e-6,0.0005725368514953436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.4646070112578,190876.1201309317
t5127,0.0,1.585655387929639e-6,0.0005738360887362534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.4686887018283,190637.5249813552
t5128,0.0,1.5907860659996658e-6,0.000574772737839051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.7958290615998,190399.2280744664
t5129,0.0,1.5962885227023791e-6,0.0005760981893733199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.1416975122916,190161.2290399844
t5130,0.0,1.6019847339270099e-6,0.0005770713830860459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.0501926977007,189923.52750304108
t5131,0.0,1.6081731900923334e-6,0.0005780635881603409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.98610253765025,189686.12309302826
t5132,0.0,1.6149309472892985e-6,0.0005794305321180263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.5061287447625,189449.0154398095
t5133,0.0,1.6221808707466091e-6,0.0005804623960261813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.754128562881575e-6,189212.20416989422
t5134,0.0,1.6305441497510241e-6,0.0005821080768152738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013907040545850933,189100.65169992167
t5135,0.0,1.639412716034826e-6,0.0005837633028175311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017620635686231193,188983.0585322845
t5136,0.0,1.6489372754288282e-6,0.0005854286412467269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001986039789826405,190494.93069253003
t5137,0.0,1.6591786520568878e-6,0.0005871971425204459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.6077976321454,194912.7596539133
t5138,0.0,1.6697567466518424e-6,0.0005889016607084106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.7616978976064,199325.04440151752
t5139,0.0,1.6809493305833028e-6,0.0005906016042946826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.7617117605853,203390.06149273235
t5140,0.0,1.6928132490424086e-6,0.0005923148388987099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.7617247310873,206188.6394299913
t5141,0.0,1.7051651358977612e-6,0.0005940424715790342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.7617368937974,207194.6543021725
t5142,0.0,1.718253913418679e-6,0.0005957858213398093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.7617483214865,209239.13863454654
t5143,0.0,1.7321153713878918e-6,0.0005975653149500978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.0164534776836,213627.24906873982
t5144,0.0,1.7465226605951922e-6,0.0005993453131588516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.016463584716,217855.31925245537
t5145,0.0,1.761735684929079e-6,0.0006011661145952685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1449.185341104186,222074.41220940137
t5146,0.0,1.7777365663649355e-6,0.0006029925669126144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1449.1853493637434,224891.47088178623
t5147,0.0,1.794314309688704e-6,0.000604869071242817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483.1554414041004,227332.2659740583
t5148,0.0,1.8115502995672086e-6,0.0006067845325833453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2059.337242711939,227988.2525891548
t5149,0.0,1.828885304039272e-6,0.0006087572029150051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105672655396,228074.24082121896
t5150,0.0,1.841605640773733e-6,0.0006057415593812174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105658327494,227791.69287025605
t5151,0.0,1.8534803365117681e-6,0.0006028166005989782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410567146444,228050.46327959842
t5152,0.0,1.8596924069577215e-6,0.0005995885630131318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410567293837,227801.44125365966
t5153,0.0,1.831667622041713e-6,0.000596153622904937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105214577166,226459.73839265024
t5154,0.0,1.8026624909585086e-6,0.0005927187987300414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.4085937231234,224651.63315862403
t5155,0.0,1.7904642842936355e-6,0.0005893120903858245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.41056599421,224370.81861691963
t5156,0.0,1.7696459078107257e-6,0.0005858773304217966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410564625002,223481.9965646202
t5157,0.0,1.7504540620359434e-6,0.0005824425516004073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105637804887,220121.08085821604
t5158,0.0,1.734066460481328e-6,0.0005790077313461046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410563146208,216566.16340327854
t5159,0.0,1.7199707419113711e-6,0.0005755728521080111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410562634121,213719.80052754955
t5160,0.0,1.7079755847204262e-6,0.0005721378998590653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410562205358,211323.23082494392
t5161,0.0,1.697743782631418e-6,0.0005687028631403159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105618387907,209976.857367166
t5162,0.0,1.6887938991082813e-6,0.0005652677324231476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105615214557,209429.85492713845
t5163,0.0,1.6811373990429762e-6,0.00056183249966713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410561244745,208837.76711152593
t5164,0.0,1.6746088868878126e-6,0.0005583971580038343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105610026145,207447.097528234
t5165,0.0,1.6688558351605799e-6,0.0005549617015045854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105607906467,206015.54654842775
t5166,0.0,1.663986610897346e-6,0.0005515261250059309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410560605515,204309.753643156
t5167,0.0,1.6599097654575034e-6,0.0005480904239760022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105604446563,202314.78072013415
t5168,0.0,1.6563302589474563e-6,0.0005446545944103742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105603060657,199559.81241369058
t5169,0.0,1.6534020793388722e-6,0.0005412186327497062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410560188156,196006.47194918146
t5170,0.0,1.6510703664144818e-6,0.0005377825358137315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105600896664,192000.2232558947
t5171,0.0,1.649069784894257e-6,0.0005343463007477201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105600095927,186896.90688140702
t5172,0.0,1.6475788295633558e-6,0.0005309099249786035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410559947145,182236.49445966797
t5173,0.0,1.6465629553283977e-6,0.0005274734061786426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105599017103,176733.3489446368
t5174,0.0,1.6457738019397057e-6,0.0005240367422351084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.41055987283,170185.6326949152
t5175,0.0,1.645404248089691e-6,0.000520599931224789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105598601836,165005.6003021762
t5176,0.0,1.6454319446367212e-6,0.000517162971392302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410559863578,160425.3891834044
t5177,0.0,1.645618923898783e-6,0.0005137258611316637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410559882939,156540.07605233154
t5178,0.0,1.6461670383111223e-6,0.0005102885989704154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410559918313,151004.17934414395
t5179,0.0,1.6470616651278516e-6,0.0005068511835559413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410559969867,145876.61817158022
t5180,0.0,1.6480715057091659e-6,0.0005034136136435555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410560037896,141494.43714510594
t5181,0.0,1.6494042460230846e-6,0.0004999758880861215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410560122836,136003.45105429893
t5182,0.0,1.6510503337970708e-6,0.000496538005824972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.41056022528,134831.4703791443
t5183,0.0,1.6527828775851368e-6,0.0004930999658818603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105603460052,134219.18033063284
t5184,0.0,1.6548134483594565e-6,0.0004896617673518659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410560486009,132386.48923336758
t5185,0.0,1.657135883595332e-6,0.0004862234093971578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105606465605,130183.98565561304
t5186,0.0,1.6595262407679163e-6,0.0004827848912413488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410560829271,128892.02053016463
t5187,0.0,1.662198696474611e-6,0.0004793462121644947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105610362017,128243.02302772229
t5188,0.0,1.6651493555280767e-6,0.0004759073714985968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105612700155,127787.50903867323
t5189,0.0,1.6681562346777704e-6,0.0004724683686235441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410561534218,127147.44572402487
t5190,0.0,1.671435234149422e-6,0.0004690292029635214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105618335357,126606.79586286699
t5191,0.0,1.6749839410028142e-6,0.00046558987398365463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105621745616,125901.5401117826
t5192,0.0,1.678581628845829e-6,0.0004621503811870494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105625669226,124290.0428312996
t5193,0.0,1.6824452748374755e-6,0.0004587107241120714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410563025609,120694.59558877656
t5194,0.0,1.686573175246984e-6,0.0004552709023298541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410563576274,115383.0062059834
t5195,0.0,1.6907422044499333e-6,0.00045183091544203046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410564269983,108843.5080245233
t5196,0.0,1.6951203372625004e-6,0.000448390763078685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105652415606,102448.70193212778
t5197,0.0,1.6988876140868792e-6,0.00044495044489640693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410567271719,95798.89502057103
t5198,0.0,1.6842332943285742e-6,0.0004414716437428763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105668473935,88686.89135450317
t5199,0.0,1.66834598578513e-6,0.0004379928447518914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410566754796,81677.99597319492
t5200,0.0,1.652875827296496e-6,0.00043451404768397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105668113907,74800.86784593956
t5201,0.0,1.6346997236340803e-6,0.00043103525230575395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105671011766,68090.74366449173
t5202,0.0,1.5848442643226026e-6,0.00042754299949153424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1828.7347643635144,61589.51122706776
t5203,0.0,1.5285318736240923e-6,0.00042405074746458934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.9197581234323,55344.82510696239
t5204,0.0,1.4711027437515565e-6,0.00042055849608687505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.3200862000596,49407.89239950996
t5205,0.0,1.4156728209321106e-6,0.00041706624522345136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.19249661954753,43829.779077727704
t5206,0.0,1.3730318523370073e-6,0.0004135739947423212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.084838378253944e-7,38656.54557975759
t5207,0.0,1.380160483856806e-6,0.0004101918033915963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.219705172205296e-7,34798.99443006892
t5208,0.0,1.3887535701348852e-6,0.0004068093128547416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5603448692593726e-7,34203.749036213456
t5209,0.0,1.4005590608729303e-6,0.000403736272743574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.706058687978,34160.994350363544
t5210,0.0,1.4123805595157631e-6,0.00040081374459308307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192.3136655688716,34630.83215506369
t5211,0.0,1.4239338438874776e-6,0.000397889042952081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1852.9212724361685,34822.97717427036
t5212,0.0,1.4348763875822771e-6,0.00039481595584573554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2275.41073845463,34779.44845326877
t5213,0.0,1.4450505890128719e-6,0.00039174283701405815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105672514397,34735.9741431757
t5214,0.0,1.4512741969635595e-6,0.0003883585453839195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105081779558,34505.43288238942
t5215,0.0,1.4567717115007093e-6,0.00038497395276596106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149.418676829362,32363.81640207432
t5216,0.0,1.4617209985660167e-6,0.0003815890589051716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.9277057386198,30104.790195988116
t5217,0.0,1.4664045682924433e-6,0.00037820386356575306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.4367050481322,28033.132649823063
t5218,0.0,1.4712791627404932e-6,0.0003748192480277152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8710478608275106e-7,27998.091215969598
t5219,0.0,1.479490347374178e-6,0.0003717457610723909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1444552109323553e-6,27963.09360247042
t5220,0.0,1.487987791522118e-6,0.00036879340434820007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.39011036853424,27928.139748838334
t5221,0.0,1.4963237878136797e-6,0.0003658468992821992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.9976846586084,27918.678807804383
t5222,0.0,1.5042218072762462e-6,0.00036289821407613947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582.6052422633275,28997.242142657044
t5223,0.0,1.51189900782125e-6,0.000359947350646223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2243.2127498225896,31522.61846828224
t5224,0.0,1.5193606819280974e-6,0.00035699431108365755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410316089878,35701.69111517155
